NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:11 PM,,,,,
Jan 1997,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1465,,1754,,3219,,403,,907,,1310,,212393
0100301 AL FSP BALDWIN CO FS OFF,1814,,4250,,6064,,536,,1721,,2257,,383925
0100501 AL FSP BARBOUR CO FS OFF,2668,,2658,,5326,,697,,1383,,2080,,355338
0100701 AL FSP BIBB CO FS OFF,812,,1159,,1971,,218,,554,,772,,114547
0100901 AL FSP BLOUNT CO FS OFF,1387,,1948,,3335,,424,,926,,1350,,222109
0101101 AL FSP BULLOCK CO FS OFF,1537,,1074,,2611,,407,,543,,950,,169019
0101301 AL FSP BUTLER CO FSO,1610,,2074,,3684,,411,,1009,,1420,,224511
0101501 AL FSP CALHOUN CO FS OFF,5314,,7506,,12820,,1421,,3718,,5139,,957084
0101701 AL FSP CHAMBERS CO FS OFF,1766,,2532,,4298,,491,,1190,,1681,,289631
0101901 AL FSP CHEROKEE CO FS OFFICE,800,,1315,,2115,,247,,624,,871,,140993
0102101 AL FSP CHILTON CO FS OFF,1509,,2272,,3781,,457,,1096,,1553,,260558
0102301 AL FSP CHOCTAW CO FS OFF,1276,,1317,,2593,,353,,708,,1061,,175520
0102502 AL FSP CLARKE CO FS OFF.,2331,,3136,,5467,,874,,1362,,2236,,377446
0102701 AL FSP CLAY CO FS OFF,531,,512,,1043,,150,,263,,413,,58781
0102901 AL FSP CLEBURNE CO FS OFF,492,,671,,1163,,147,,313,,460,,70899
0103101 AL FSP COFFEE CO FS OFF,1532,,1881,,3413,,476,,855,,1331,,214609
0103301 AL FSP COLBERT CO FS OFF,1523,,2625,,4148,,472,,1226,,1698,,261474
0103501 AL FSP CONECUH CO FS OFF,1789,,2089,,3878,,485,,1140,,1625,,268339
0103701 AL FSP COOSA CO FSO,478,,613,,1091,,125,,296,,421,,65014
0103901 AL FSP COVINGTON CO FS OFF,2038,,2907,,4945,,648,,1462,,2110,,318104
0104101 AL FSP CRENSHAW CO FSO,918,,931,,1849,,294,,515,,809,,116099
0104301 AL FSP CULLMAN CO FS OFF,1724,,2534,,4258,,602,,1265,,1867,,271787
0104501 AL FSP DALE CO FS OFF,2262,,4434,,6696,,598,,1973,,2571,,464286
0104701 AL FSP DALLAS CO FS OFF,7161,,6234,,13395,,1655,,3544,,5199,,934428
0104901 AL FSP DEKALB CO FS OFF,2111,,2565,,4676,,689,,1269,,1958,,301489
0105101 AL FSP ELMORE CO FS OFF,1733,,2814,,4547,,423,,1158,,1581,,278293
0105301 AL FSP ESCAMBIA CO FS OFF,1769,,3254,,5023,,496,,1503,,1999,,344974
0105501 AL FSP ETOWQH CO FS OFF,4306,,6762,,11068,,1357,,3433,,4790,,765292
0105701 AL FSP FAYETTE CO FS OFF,1094,,1015,,2109,,375,,639,,1014,,136087
0105901 AL FSP FRANKLIN CO FS OFF,1529,,1411,,2940,,486,,800,,1286,,181478
0106101 AL FSP GENEVA CO FS OFF,1239,,1631,,2870,,416,,818,,1234,,186364
0106301 AL FSP GREENE CO FS OFF,1423,,1833,,3256,,383,,864,,1247,,214696
0106501 AL FSP HALE CO FS OFF,1334,,2166,,3500,,371,,922,,1293,,222358
0106701 AL FSP HENRY CO FS OFF,1127,,1189,,2316,,367,,692,,1059,,149234
0106901 AL FSP HOUSTON CO FS OFF,3782,,5713,,9495,,1103,,2661,,3764,,620654
0107101 AL FSP JACKSON CO FS OFF,1944,,2594,,4538,,625,,1331,,1956,,290586
0107301 AL FSP JEFFERSON CO FS OFF,30480,,35884,,66364,,7977,,18743,,26720,,4890163
0107501 AL FSP LAMAR CO FS OFF,789,,1072,,1861,,286,,552,,838,,117512
0107701 AL FSP LAUDERDALE CO FS OFF,2464,,3725,,6189,,744,,1749,,2493,,412658
0107901 AL FSP LAWRENCE CO FS OFF,1282,,1722,,3004,,396,,807,,1203,,182531
0108101 AL FSP LEE CO FOOD STAMP OFF,2616,,4511,,7127,,727,,2036,,2763,,491277
0108302 AL FSP LIMESTONE CO. FS OFF,1851,,3547,,5398,,919,,1473,,2392,,383509
0108501 AL FSP LOWNDES CO FS OFF,1909,,2010,,3919,,448,,990,,1438,,259194
0108701 AL FSP MACON CO FS OFF,2769,,3847,,6616,,769,,2035,,2804,,514378
0108902 AL FSP MADISON CO. FS OFF,7830,,12926,,20756,,3109,,5756,,8865,,1601721
0109101 AL FSP MARENGO CO FS OFC,2384,,2177,,4561,,637,,1084,,1721,,291556
0109301 AL FSP MARION CO FS OFF,1305,,1230,,2535,,439,,713,,1152,,157263
0109501 AL FSP MARSHALL CO FS OFF,2734,,3648,,6382,,897,,1767,,2664,,423198
0109701 AL FSP MOBILE CO FS OFF,25352,,39569,,64921,,6280,,18894,,25174,,4923936
0109901 AL FSP MONROE CO FS OFF,1507,,2868,,4375,,376,,1199,,1575,,301425
0110101 AL FSP MONTGOMERY CO FS OFF,15504,,18318,,33822,,3541,,9160,,12701,,2483758
0110301 AL FSP MORGAN CO FS OFF,2368,,3496,,5864,,692,,1598,,2290,,409272
0110501 AL FSP PERRY CO FS OFF,2351,,2439,,4790,,633,,1289,,1922,,327356
0110701 AL FSP PICKENS CO FS OFF,1888,,2164,,4052,,484,,1037,,1521,,260594
0110901 AL FSP PIKE CO FOOD STAMP OFC,2292,,2735,,5027,,644,,1451,,2095,,333359
0111101 AL FSP RANDOLPH CO FSO,964,,1347,,2311,,271,,637,,908,,146297
0111301 AL FSP RUSSELL CO FS OFF,2575,,4490,,7065,,684,,2014,,2698,,505149
0111501 AL FSP ST CLAIR CO FS OFF,1752,,3469,,5221,,488,,1502,,1990,,358391
0111701 AL FSP SHELBY CO FS OFF,1505,,2523,,4028,,467,,1157,,1624,,271290
0111901 AL FSP SUMTER CO FS OFF,2539,,2089,,4628,,696,,1202,,1898,,312469
0112101 AL FSP TALLADEGA CO FS OFF,4988,,6062,,11050,,1381,,3192,,4573,,757662
0112301 AL FSP TALLAPOOSA CO FS OFF,1960,,2905,,4865,,532,,1419,,1951,,323873
0112501 AL FSP TUSCALOOSA CO FS OFF,7065,,10228,,17293,,1814,,5136,,6950,,1231330
0112701 AL FSP WALKER CO FS OFF,2322,,2635,,4957,,662,,1341,,2003,,342899
0112901 AL FSP WASHINGTON CO F S OFC,1285,,1284,,2569,,330,,687,,1017,,168339
0113101 AL FSP WILCOX CO FS OFF,2968,,1969,,4937,,711,,1205,,1916,,309573
0113301 AL FSP WINSTON CO FS OFF,822,,859,,1681,,272,,460,,732,,101438
0211005 AK FSP ALASKA,25979,,22885,,48864,,8569,,8042,,16611,,4788683
0400101 AZ FSP APACHE,9761,,13683,,23444,,2346,,3982,,6328,,1556008
0400301 AZ FSP COCHISE,6098,,8276,,14374,,1887,,3563,,5450,,1003912
0400501 AZ FSP COCONINO,4819,,7545,,12364,,1262,,2467,,3729,,856892
0400701 AZ FSP GILA,3405,,3702,,7107,,923,,1600,,2523,,505102
0400901 AZ FSP GRAHAM,1776,,2590,,4366,,498,,1002,,1500,,288507
0401101 AZ FSP GREENLEE,287,,347,,634,,88,,157,,245,,40787
0401301 AZ FSP MARICOPA,76992,,86649,,163641,,24311,,39618,,63929,,11945374
0401501 AZ FSP MOHAVE,5446,,9300,,14746,,1671,,4001,,5672,,1093799
0401701 AZ FSP NAVAJO,8892,,10732,,19624,,2251,,3479,,5730,,1334462
0401901 AZ FSP PIMA,26851,,39079,,65930,,8461,,17913,,26374,,4755757
0402101 AZ FSP PINAL,8377,,8628,,17005,,2389,,3629,,6018,,1183705
0402301 AZ FSP SANTA CRUZ,1498,,3387,,4885,,447,,1139,,1586,,314516
0402501 AZ FSP YAVAPAI,2577,,5608,,8185,,840,,2662,,3502,,589094
0402701 AZ FSP YUMA,5979,,11689,,17668,,1782,,4233,,6015,,1175798
0402901 AZ FSP LA PAZ CO DES,895,,1265,,2160,,258,,603,,861,,165030
0500101 AR FSP ARKANSAS COUNTY,436,,2515,,2951,,145,,1074,,1219,,201677
0500301 AR FSP ASHLEY COUNTY,538,,2974,,3512,,173,,1262,,1435,,233171
0500501 AR FSP BAXTER COUNTY,375,,2172,,2547,,127,,858,,985,,163295
0500701 AR FSP BENTON COUNTY,882,,4852,,5734,,286,,1796,,2082,,393369
0500901 AR FSP BOONE COUNTY,444,,2469,,2913,,143,,1025,,1168,,192305
0501101 AR FSP BRADLEY COUNTY,304,,1497,,1801,,112,,687,,799,,125384
0501301 AR FSP CALHOUN COUNTY,81,,460,,541,,27,,206,,233,,33999
0501501 AR FSP CARROLL COUNTY,156,,1515,,1671,,54,,598,,652,,113695
0501701 AR FSP CHICOT COUNTY,818,,3050,,3868,,243,,1323,,1566,,247844
0501901 AR FSP CLARK COUNTY,183,,1899,,2082,,64,,887,,951,,134619
0502101 AR FSP CLAY COUNTY,222,,1549,,1771,,71,,662,,733,,100719
0502301 AR FSP CLEBURNE COUNTY,172,,1681,,1853,,61,,700,,761,,129095
0502501 AR FSP CLEVELAND COUNTY,133,,856,,989,,48,,365,,413,,71354
0502701 AR FSP COLUMBIA COUNTY,746,,3782,,4528,,236,,1750,,1986,,315115
0502901 AR FSP CONWAY COUNTY,216,,2156,,2372,,70,,978,,1048,,147418
0503101 AR FSP CRAIGHEAD COUNTY,1551,,5483,,7034,,514,,2325,,2839,,490478
0503301 AR FSP CRAWFORD COUNTY,783,,3710,,4493,,244,,1389,,1633,,292538
0503501 AR FSP CRITTENDEN COUNTY,1520,,7807,,9327,,448,,2827,,3275,,645979
0503701 AR FSP CROSS COUNTY,648,,2403,,3051,,325,,851,,1176,,195005
0503901 AR FSP DALLAS COUNTY,150,,1201,,1351,,48,,514,,562,,83800
0504101 AR FSP DESHA COUNTY,665,,2788,,3453,,211,,1120,,1331,,225672
0504301 AR FSP DREW COUNTY,361,,1930,,2291,,120,,820,,940,,153245
0504501 AR FSP FAULKNER COUNTY,405,,3552,,3957,,141,,1384,,1525,,275622
0504701 AR FSP FRANKLIN COUNTY,148,,1449,,1597,,52,,583,,635,,100808
0504901 AR FSP FULTON COUNTY,257,,1458,,1715,,79,,644,,723,,103191
0505101 AR FSP GARLAND COUNTY,1359,,6099,,7458,,441,,2693,,3134,,526664
0505301 AR FSP GRANT COUNTY,157,,884,,1041,,54,,383,,437,,65114
0505501 AR FSP GREENE COUNTY,374,,2864,,3238,,122,,1227,,1349,,198095
0505701 AR FSP HEMPSTEAD COUNTY,376,,2766,,3142,,112,,1219,,1331,,209076
0505901 AR FSP HOT SPRING COUNTY,455,,2514,,2969,,161,,1090,,1251,,204042
0506101 AR FSP HOWARD COUNTY,62,,1449,,1511,,22,,603,,625,,100481
0506301 AR FSP INDEPENDENCE COUNTY,435,,3165,,3600,,134,,1309,,1443,,226139
0506501 AR FSP IZARD COUNTY,229,,1611,,1840,,67,,640,,707,,119414
0506701 AR FSP JACKSON COUNTY,547,,2363,,2910,,170,,970,,1140,,179007
0506901 AR FSP JEFFERSON COUNTY,3060,,12817,,15877,,962,,5468,,6430,,1136069
0507101 AR FSP JOHNSON COUNTY,247,,1630,,1877,,86,,687,,773,,113861
0507301 AR FSP LAFAYETTE COUNTY,279,,1285,,1564,,85,,601,,686,,97978
0507501 AR FSP LAWRENCE COUNTY,389,,2462,,2851,,122,,1045,,1167,,162347
0507701 AR FSP LEE COUNTY,921,,2886,,3807,,266,,1273,,1539,,242603
0507901 AR FSP LINCOLN COUNTY,347,,1723,,2070,,114,,703,,817,,134866
0508101 AR FSP LITTLE RIVER COUNTY,136,,1291,,1427,,45,,535,,580,,89993
0508301 AR FSP LOGAN COUNTY,313,,2075,,2388,,110,,836,,946,,151894
0508501 AR FSP LONOKE COUNTY,509,,2594,,3103,,168,,1008,,1176,,204777
0508701 AR FSP MADISON COUNTY,54,,1143,,1197,,18,,425,,443,,70725
0508901 AR FSP MARION COUNTY,167,,1614,,1781,,59,,609,,668,,110158
