NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:05 PM,,,,,
Jan 2000,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1059,,1620,,2679,,301,,755,,1056,,178135
0100301 AL EBT BALDWIN CO FS OFF,1271,,2992,,4263,,426,,1206,,1632,,278364
0100501 AL EBT BARBOUR CO FS OFF,1646,,2645,,4291,,455,,1204,,1659,,285541
0100701 AL EBT BIBB CO FS OFF,617,,994,,1611,,177,,445,,622,,99428
0100901 AL EBT BLOUNT CO FS OFF,1029,,1457,,2486,,327,,684,,1011,,171657
0101101 AL EBT BULLOCK CO FS OFF,988,,1079,,2067,,255,,505,,760,,141669
0101301 AL EBT BUTLER CO FSO,1132,,2114,,3246,,312,,981,,1293,,220971
0101501 AL EBT CALHOUN CO FS OFF,3847,,6448,,10295,,1125,,2980,,4105,,763077
0101701 AL EBT CHAMBERS CO FS OFF,1260,,2345,,3605,,393,,1027,,1420,,256815
0101901 AL EBT CHEROKEE CO FS OFFICE,800,,1270,,2070,,257,,581,,838,,144513
0102101 AL EBT CHILTON CO FS OFF,1055,,2461,,3516,,330,,1047,,1377,,247297
0102301 AL EBT CHOCTAW CO FS OFF,803,,1296,,2099,,237,,623,,860,,147990
0102502 AL EBT CLARKE CO FS OFF.,1653,,3261,,4914,,759,,1251,,2010,,334135
0102701 AL EBT CLAY CO FS OFF,366,,455,,821,,122,,233,,355,,45139
0102901 AL EBT CLEBURNE CO FS OFF,347,,600,,947,,121,,286,,407,,58643
0103101 AL EBT COFFEE CO FS OFF,1207,,2096,,3303,,365,,908,,1273,,217015
0103301 AL EBT COLBERT CO FS OFF,1186,,2933,,4119,,396,,1284,,1680,,289376
0103501 AL EBT CONECUH CO FS OFF,1388,,1705,,3093,,399,,884,,1283,,229347
0103701 AL EBT COOSA CO FSO,375,,412,,787,,117,,221,,338,,45966
0103901 AL EBT COVINGTON CO FS OFF,1424,,3164,,4588,,483,,1452,,1935,,328506
0104101 AL EBT CRENSHAW CO FSO,644,,865,,1509,,214,,456,,670,,99273
0104301 AL EBT CULLMAN CO FS OFF,1403,,2210,,3613,,501,,1071,,1572,,242517
0104501 AL EBT DALE CO FS OFF,1832,,4054,,5886,,545,,1744,,2289,,425254
0104701 AL EBT DALLAS CO FS OFF,4800,,6913,,11713,,1175,,3304,,4479,,852953
0104901 AL EBT DEKALB CO FS OFF,1597,,2080,,3677,,547,,1048,,1595,,249144
