NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:57 AM,,,,,
Jan 2004,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1006,,2548,,3554,,248,,1106,,1354,,286132
0100301 AL EBT BALDWIN CO FS OFF,1389,,4427,,5816,,410,,1673,,2083,,444378
0100501 AL EBT BARBOUR CO FS OFF,1420,,3571,,4991,,363,,1543,,1906,,398657
0100701 AL EBT BIBB CO FS OFF,611,,1554,,2165,,169,,678,,847,,163057
0100901 AL EBT BLOUNT CO FS OFF,1059,,2541,,3600,,311,,1051,,1362,,282949
0101101 AL EBT BULLOCK CO FS OFF,910,,1310,,2220,,233,,620,,853,,166945
0101301 AL EBT BUTLER CO FSO,1015,,2315,,3330,,292,,1044,,1336,,250387
0101501 AL EBT CALHOUN CO FS OFF,3781,,9244,,13025,,1094,,4160,,5254,,1137152
0101701 AL EBT CHAMBERS CO FS OFF,1366,,3267,,4633,,412,,1432,,1844,,384247
0101901 AL EBT CHEROKEE CO FS OFFICE,764,,2111,,2875,,230,,908,,1138,,238031
0102101 AL EBT CHILTON CO FS OFF,1158,,3293,,4451,,340,,1386,,1726,,355407
0102301 AL EBT CHOCTAW CO FS OFF,735,,1779,,2514,,215,,824,,1039,,205520
0102502 AL EBT CLARKE CO FS OFF.,1295,,3701,,4996,,670,,1398,,2068,,379371
0102701 AL EBT CLAY CO FS OFF,345,,584,,929,,107,,265,,372,,61255
0102901 AL EBT CLEBURNE CO FS OFF,399,,1023,,1422,,118,,436,,554,,113171
0103101 AL EBT COFFEE CO FS OFF,1061,,2559,,3620,,301,,1086,,1387,,273222
0103301 AL EBT COLBERT CO FS OFF,1393,,4208,,5601,,445,,1857,,2302,,468050
0103501 AL EBT CONECUH CO FS OFF,974,,2094,,3068,,296,,1003,,1299,,252337
0103701 AL EBT COOSA CO FSO,353,,744,,1097,,93,,334,,427,,78411
0103901 AL EBT COVINGTON CO FS OFF,1628,,3836,,5464,,511,,1803,,2314,,431671
0104101 AL EBT CRENSHAW CO FSO,609,,1230,,1839,,182,,597,,779,,142781
0104301 AL EBT CULLMAN CO FS OFF,1540,,3984,,5524,,502,,1724,,2226,,441686
0104501 AL EBT DALE CO FS OFF,1705,,4812,,6517,,471,,2112,,2583,,537165
0104701 AL EBT DALLAS CO FS OFF,4644,,8031,,12675,,1134,,3805,,4939,,1044576
0104901 AL EBT DEKALB CO FS OFF,1700,,4398,,6098,,505,,1848,,2353,,487818
0105101 AL EBT ELMORE CO FS OFF,1540,,4076,,5616,,401,,1598,,1999,,444156
0105301 AL EBT ESCAMBIA CO FS OFF,1394,,4315,,5709,,435,,1802,,2237,,481406
0105501 AL EBT ETOWQH CO FS OFF,2816,,6731,,9547,,918,,2986,,3904,,740371
0105701 AL EBT FAYETTE CO FS OFF,991,,1731,,2722,,331,,886,,1217,,215099
0105901 AL EBT FRANKLIN CO FS OFF,1137,,2791,,3928,,355,,1284,,1639,,309384
0106101 AL EBT GENEVA CO FS OFF,959,,2176,,3135,,308,,943,,1251,,243437
0106301 AL EBT GREENE CO FS OFF,866,,1666,,2532,,230,,749,,979,,199783
0106501 AL EBT HALE CO FS OFF,787,,2014,,2801,,198,,796,,994,,204485
0106701 AL EBT HENRY CO FS OFF,700,,1707,,2407,,230,,807,,1037,,186294
0106901 AL EBT HOUSTON CO FS OFF,2987,,7862,,10849,,904,,3380,,4284,,866129
0107101 AL EBT JACKSON CO FS OFF,1518,,4385,,5903,,494,,1850,,2344,,474688
0107301 AL EBT JEFFERSON CO FS OFF,21826,,41365,,63191,,6159,,19440,,25599,,5293894
0107501 AL EBT LAMAR CO FS OFF,635,,1298,,1933,,232,,642,,874,,150727
0107701 AL EBT LAUDERDALE CO FS OFF,2081,,6218,,8299,,649,,2766,,3415,,680000
0107901 AL EBT LAWRENCE CO FS OFF,1081,,2586,,3667,,335,,1111,,1446,,290822
0108101 AL EBT LEE CO FOOD STAMP OFF,1974,,5669,,7643,,586,,2408,,2994,,633928
0108302 AL EBT LIMESTONE CO. FS OFF,1174,,3872,,5046,,725,,1434,,2159,,388547
0108501 AL EBT LOWNDES CO FS OFF,1129,,2175,,3304,,279,,1038,,1317,,267661
