NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,04/10/2017,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,  , ,,,,,
Jan 2015,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1160,,7094,,8254,,502,,3187,,3689,,1018843
0100301 AL EBT BALDWIN CO FS OFF,2115,,22733,,24848,,1045,,9523,,10568,,3090453
0100501 AL EBT BARBOUR CO FS OFF,969,,5941,,6910,,466,,2742,,3208,,859581
0100701 AL EBT BIBB CO FS OFF,569,,3358,,3927,,284,,1462,,1746,,465413
0100901 AL EBT BLOUNT CO FS OFF,1157,,7167,,8324,,574,,3002,,3576,,984717
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,537,,2609,,3146,,256,,1238,,1494,,384777
0101301 AL EBT BUTLER CO FSO,839,,4631,,5470,,432,,2188,,2620,,651346
0101501 AL EBT CALHOUN CO FS OFF,3247,,21958,,25205,,1725,,10374,,12099,,3214215
0101701 AL EBT CHAMBERS CO FS OFF,1193,,6682,,7875,,635,,3149,,3784,,974305
0101901 AL EBT CHEROKEE CO FS OFFICE,730,,4272,,5002,,392,,1948,,2340,,606179
0102101 AL EBT CHILTON CO FS OFF,1058,,7522,,8580,,520,,3278,,3798,,1067510
0102301 AL EBT CHOCTAW CO FS OFF,640,,2873,,3513,,369,,1415,,1784,,429256
0102502 AL EBT CLARKE CO FS OFF.,1176,,5620,,6796,,607,,2699,,3306,,811708
0102701 AL EBT CLAY CO FS OFF,295,,1951,,2246,,157,,810,,967,,240631
0102901 AL EBT CLEBURNE CO FS OFF,359,,2245,,2604,,195,,994,,1189,,309173
0103101 AL EBT COFFEE CO FS OFF,859,,6893,,7752,,452,,2909,,3361,,939091
0103301 AL EBT COLBERT CO FS OFF,1342,,7845,,9187,,765,,3703,,4468,,1101278
0103501 AL EBT CONECUH CO FS OFF,581,,3246,,3827,,319,,1549,,1868,,460028
0103701 AL EBT COOSA CO FSO,286,,1726,,2012,,153,,831,,984,,245474
0103901 AL EBT COVINGTON CO FS OFF,998,,7326,,8324,,543,,3220,,3763,,1007606
0104101 AL EBT CRENSHAW CO FSO,515,,2778,,3293,,286,,1312,,1598,,405177
0104301 AL EBT CULLMAN CO FS OFF,1596,,10517,,12113,,870,,4507,,5377,,1406373
0104501 AL EBT DALE CO FS OFF,1392,,9406,,10798,,728,,4363,,5091,,1360050
0104701 AL EBT DALLAS CO FS OFF,3495,,13514,,17009,,1727,,6679,,8406,,2189412
0104901 AL EBT DEKALB CO FS OFF,1433,,14281,,15714,,720,,5709,,6429,,1892124
0105101 AL EBT ELMORE CO FS OFF,1461,,11127,,12588,,681,,4806,,5487,,1581710
0105301 AL EBT ESCAMBIA CO FS OFF,1146,,8600,,9746,,597,,3761,,4358,,1222995
0105501 AL EBT ETOWQH CO FS OFF,2456,,14304,,16760,,1490,,6486,,7976,,1935378
0105701 AL EBT FAYETTE CO FS OFF,624,,3312,,3936,,372,,1578,,1950,,474300
0105901 AL EBT FRANKLIN CO FS OFF,843,,5818,,6661,,429,,2475,,2904,,810289
0106101 AL EBT GENEVA CO FS OFF,755,,5422,,6177,,399,,2291,,2690,,750694
0106301 AL EBT GREENE CO FS OFF,601,,2709,,3310,,343,,1323,,1666,,406580
0106501 AL EBT HALE CO FS OFF,857,,3482,,4339,,397,,1675,,2072,,481680
0106701 AL EBT HENRY CO FS OFF,427,,2971,,3398,,244,,1380,,1624,,398839
0106901 AL EBT HOUSTON CO FS OFF,3006,,17383,,20389,,1512,,8008,,9520,,2503868
0107101 AL EBT JACKSON CO FS OFF,1048,,7667,,8715,,592,,3350,,3942,,1018743
0107301 AL EBT JEFFERSON CO FS OFF,19314,,105583,,124897,,9798,,51997,,61795,,16099419
0107501 AL EBT LAMAR CO FS OFF,476,,2382,,2858,,272,,1092,,1364,,333532
0107701 AL EBT LAUDERDALE CO FS OFF,1814,,11387,,13201,,1014,,5256,,6270,,1577235
0107901 AL EBT LAWRENCE CO FS OFF,917,,5961,,6878,,510,,2667,,3177,,843374
0108101 AL EBT LEE CO FOOD STAMP OFF,2064,,16554,,18618,,1069,,7398,,8467,,2287265
0108302 AL EBT LIMESTONE CO. FS OFF,1455,,10669,,12124,,813,,4652,,5465,,1492850
0108501 AL EBT LOWNDES CO FS OFF,744,,3476,,4220,,400,,1748,,2148,,531296
0108701 AL EBT MACON CO FS OFF,1112,,6004,,7116,,573,,3466,,4039,,976535
0108902 AL EBT MADISON CO. FS OFF,4597,,38569,,43166,,2466,,18034,,20500,,5565007
0109101 AL EBT MARENGO CO FS OFC,1114,,4465,,5579,,651,,2234,,2885,,644312
0109301 AL EBT MARION CO FS OFF,824,,5499,,6323,,479,,2438,,2917,,752925
0109501 AL EBT MARSHALL CO FS OFF,1927,,17027,,18954,,1035,,7059,,8094,,2350775
0109701 AL EBT MOBILE CO FS OFF,13254,,81872,,95126,,6773,,37781,,44554,,12336891
0109901 AL EBT MONROE CO FS OFF,800,,4254,,5054,,376,,1904,,2280,,613313
0110101 AL EBT MONTGOMERY CO FS OFF,8940,,47178,,56118,,3979,,22872,,26851,,7535083
0110301 AL EBT MORGAN CO FS OFF,1948,,14535,,16483,,1143,,6329,,7472,,2045297
0110501 AL EBT PERRY CO FS OFF,890,,3506,,4396,,496,,1830,,2326,,530989
0110701 AL EBT PICKENS CO FS OFF,799,,3526,,4325,,427,,1638,,2065,,496385
0110901 AL EBT PIKE CO FOOD STAMP OFC,1283,,6563,,7846,,706,,3420,,4126,,992368
0111101 AL EBT RANDOLPH CO FSO,824,,4821,,5645,,379,,2159,,2538,,691746
0111301 AL EBT RUSSELL CO FS OFF,1861,,13584,,15445,,825,,6130,,6955,,2014448
0111501 AL EBT ST CLAIR CO FS OFF,1519,,10570,,12089,,743,,4566,,5309,,1492088
0111701 AL EBT SHELBY CO FS OFF,1450,,13313,,14763,,713,,5820,,6533,,1882403
0111901 AL EBT SUMTER CO FS OFF,988,,3479,,4467,,525,,1885,,2410,,542928
0112101 AL EBT TALLADEGA CO FS OFF,2917,,13661,,16578,,1627,,6601,,8228,,2000800
0112301 AL EBT TALLAPOOSA CO FS OFF,1251,,7442,,8693,,686,,3522,,4208,,1050477
0112501 AL EBT TUSCALOOSA CO FS OFF,4572,,24164,,28736,,2182,,11086,,13268,,3481618
0112701 AL EBT WALKER CO FS OFF,1894,,12002,,13896,,968,,5319,,6287,,1725818
0112901 AL EBT WASHINGTON CO F S OFC,513,,2619,,3132,,322,,1240,,1562,,380628
0113101 AL EBT WILCOX CO FS OFF,1074,,3845,,4919,,562,,1964,,2526,,600811
0113301 AL EBT WINSTON CO FS OFF,640,,3410,,4050,,333,,1462,,1795,,456412
0211005 AK EBT ALASKA,12831,,66903,,79734,,6277,,27372,,33649,,14070593
0400101 AZ EBT APACHE,42,,25581,,25623,,13,,10030,,10043,,3202271
