NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,02/27/2018,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2016,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1106,,7185,,8291,,527,,3205,,3732,,1007395
0100301 AL EBT BALDWIN CO FS OFF,1928,,21843,,23771,,1054,,9270,,10324,,2918374
0100501 AL EBT BARBOUR CO FS OFF,971,,5804,,6775,,489,,2675,,3164,,844816
0100701 AL EBT BIBB CO FS OFF,542,,3265,,3807,,294,,1418,,1712,,442082
0100901 AL EBT BLOUNT CO FS OFF,983,,6525,,7508,,548,,2719,,3267,,873572
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,530,,2571,,3101,,258,,1238,,1496,,372114
0101301 AL EBT BUTLER CO FSO,783,,4627,,5410,,424,,2192,,2616,,637938
0101501 AL EBT CALHOUN CO FS OFF,3020,,21100,,24120,,1692,,10002,,11694,,3045422
0101701 AL EBT CHAMBERS CO FS OFF,1089,,6433,,7522,,652,,3029,,3681,,932404
0101901 AL EBT CHEROKEE CO FS OFFICE,676,,4148,,4824,,386,,1908,,2294,,569877
0102101 AL EBT CHILTON CO FS OFF,981,,7177,,8158,,525,,3105,,3630,,1012439
0102301 AL EBT CHOCTAW CO FS OFF,651,,2912,,3563,,395,,1431,,1826,,430789
0102502 AL EBT CLARKE CO FS OFF.,1072,,5364,,6436,,594,,2615,,3209,,764910
0102701 AL EBT CLAY CO FS OFF,321,,1796,,2117,,157,,779,,936,,216898
0102901 AL EBT CLEBURNE CO FS OFF,302,,2049,,2351,,186,,954,,1140,,282665
0103101 AL EBT COFFEE CO FS OFF,909,,6830,,7739,,464,,2962,,3426,,943923
0103301 AL EBT COLBERT CO FS OFF,1253,,7619,,8872,,768,,3579,,4347,,1057797
0103501 AL EBT CONECUH CO FS OFF,569,,3223,,3792,,316,,1556,,1872,,466534
0103701 AL EBT COOSA CO FSO,258,,1624,,1882,,156,,777,,933,,231185
0103901 AL EBT COVINGTON CO FS OFF,961,,7223,,8184,,544,,3204,,3748,,1008207
0104101 AL EBT CRENSHAW CO FSO,505,,2721,,3226,,287,,1307,,1594,,391758
0104301 AL EBT CULLMAN CO FS OFF,1554,,9730,,11284,,901,,4203,,5104,,1267788
0104501 AL EBT DALE CO FS OFF,1436,,9222,,10658,,777,,4269,,5046,,1328967
0104701 AL EBT DALLAS CO FS OFF,3213,,13260,,16473,,1686,,6608,,8294,,2095946
0104901 AL EBT DEKALB CO FS OFF,1343,,14101,,15444,,731,,5688,,6419,,1844823
0105101 AL EBT ELMORE CO FS OFF,1363,,10287,,11650,,679,,4514,,5193,,1432778
0105301 AL EBT ESCAMBIA CO FS OFF,1112,,8125,,9237,,598,,3545,,4143,,1146334
0105501 AL EBT ETOWQH CO FS OFF,2410,,13620,,16030,,1527,,6182,,7709,,1810838
0105701 AL EBT FAYETTE CO FS OFF,611,,3289,,3900,,373,,1543,,1916,,471905
0105901 AL EBT FRANKLIN CO FS OFF,788,,5658,,6446,,440,,2417,,2857,,782759
0106101 AL EBT GENEVA CO FS OFF,774,,5188,,5962,,430,,2227,,2657,,711342
0106301 AL EBT GREENE CO FS OFF,539,,2679,,3218,,353,,1309,,1662,,391696
0106501 AL EBT HALE CO FS OFF,734,,3501,,4235,,392,,1668,,2060,,469257
0106701 AL EBT HENRY CO FS OFF,420,,2901,,3321,,241,,1402,,1643,,388628
0106901 AL EBT HOUSTON CO FS OFF,2850,,17651,,20501,,1498,,8085,,9583,,2506540
0107101 AL EBT JACKSON CO FS OFF,1017,,7470,,8487,,562,,3267,,3829,,984981
0107301 AL EBT JEFFERSON CO FS OFF,18044,,102444,,120488,,9833,,49841,,59674,,15388377
0107501 AL EBT LAMAR CO FS OFF,470,,2276,,2746,,274,,1074,,1348,,323108
0107701 AL EBT LAUDERDALE CO FS OFF,1752,,11315,,13067,,1024,,5261,,6285,,1540879
0107901 AL EBT LAWRENCE CO FS OFF,894,,5684,,6578,,518,,2516,,3034,,805085
0108101 AL EBT LEE CO FOOD STAMP OFF,1973,,16108,,18081,,1111,,7288,,8399,,2227574
0108302 AL EBT LIMESTONE CO. FS OFF,1370,,9899,,11269,,815,,4344,,5159,,1359806
0108501 AL EBT LOWNDES CO FS OFF,704,,3443,,4147,,391,,1711,,2102,,517126
0108701 AL EBT MACON CO FS OFF,988,,5716,,6704,,548,,3216,,3764,,909152
0108902 AL EBT MADISON CO. FS OFF,4467,,37992,,42459,,2519,,17894,,20413,,5395580
0109101 AL EBT MARENGO CO FS OFC,1091,,4360,,5451,,649,,2169,,2818,,632979
0109301 AL EBT MARION CO FS OFF,819,,5451,,6270,,488,,2437,,2925,,730989
0109501 AL EBT MARSHALL CO FS OFF,1904,,16602,,18506,,1070,,6907,,7977,,2243278
0109701 AL EBT MOBILE CO FS OFF,12566,,82274,,94840,,6760,,37982,,44742,,12178132
0109901 AL EBT MONROE CO FS OFF,759,,4238,,4997,,380,,1912,,2292,,592519
0110101 AL EBT MONTGOMERY CO FS OFF,8369,,47717,,56086,,3995,,22956,,26951,,7455006
0110301 AL EBT MORGAN CO FS OFF,2029,,15198,,17227,,1188,,6593,,7781,,2122041
0110501 AL EBT PERRY CO FS OFF,844,,3286,,4130,,488,,1734,,2222,,489237
0110701 AL EBT PICKENS CO FS OFF,768,,3515,,4283,,446,,1613,,2059,,484081
0110901 AL EBT PIKE CO FOOD STAMP OFC,1245,,6238,,7483,,714,,3292,,4006,,933643
0111101 AL EBT RANDOLPH CO FSO,701,,4704,,5405,,335,,2095,,2430,,648522
0111301 AL EBT RUSSELL CO FS OFF,1701,,12993,,14694,,825,,5849,,6674,,1907140
0111501 AL EBT ST CLAIR CO FS OFF,1354,,9939,,11293,,734,,4248,,4982,,1361193
0111701 AL EBT SHELBY CO FS OFF,1392,,12556,,13948,,718,,5540,,6258,,1767369
0111901 AL EBT SUMTER CO FS OFF,902,,3493,,4395,,516,,1884,,2400,,541987
0112101 AL EBT TALLADEGA CO FS OFF,2702,,12503,,15205,,1610,,5991,,7601,,1799899
0112301 AL EBT TALLAPOOSA CO FS OFF,1180,,7144,,8324,,706,,3343,,4049,,984700
0112501 AL EBT TUSCALOOSA CO FS OFF,4322,,23976,,28298,,2206,,10805,,13011,,3377410
0112701 AL EBT WALKER CO FS OFF,1772,,11622,,13394,,969,,5220,,6189,,1649623
0112901 AL EBT WASHINGTON CO F S OFC,474,,2746,,3220,,303,,1299,,1602,,390024
0113101 AL EBT WILCOX CO FS OFF,1054,,3848,,4902,,571,,1958,,2529,,608292
0113301 AL EBT WINSTON CO FS OFF,565,,3232,,3797,,306,,1387,,1693,,419367
0211005 AK EBT ALASKA,12360,,67789,,80149,,6175,,27451,,33626,,14148470
0400101 AZ EBT APACHE,61,,25042,,25103,,17,,10005,,10022,,3130711
0400301 AZ EBT COCHISE,730,,22835,,23565,,215,,11013,,11228,,2714553
0400501 AZ EBT COCONINO,100,,19680,,19780,,31,,8505,,8536,,2415323
0400701 AZ EBT GILA,761,,11348,,12109,,206,,5331,,5537,,1490603
0400901 AZ EBT GRAHAM,359,,6499,,6858,,101,,2930,,3031,,820591
0401101 AZ EBT GREENLEE,17,,919,,936,,5,,438,,443,,122488
0401301 AZ EBT MARICOPA,17473,,501094,,518567,,5155,,222705,,227860,,63619768
0401501 AZ EBT MOHAVE,885,,38733,,39618,,281,,19429,,19710,,4586155
0401701 AZ EBT NAVAJO,338,,31270,,31608,,98,,12665,,12763,,3897301
0401901 AZ EBT PIMA,5240,,148529,,153769,,1528,,72506,,74034,,18737222
0402101 AZ EBT PINAL,1879,,50074,,51953,,509,,20692,,21201,,6224244
0402301 AZ EBT SANTA CRUZ,304,,12501,,12805,,87,,4962,,5049,,1413979
0402501 AZ EBT YAVAPAI,531,,23277,,23808,,164,,12341,,12505,,2716658
0402701 AZ EBT YUMA,826,,40144,,40970,,231,,15983,,16214,,4475541
0402901 AZ EBT LA PAZ CO DES,116,,3668,,3784,,35,,1893,,1928,,453890
0500101 AR EBT ARKANSAS COUNTY,53,,3364,,3417,,18,,1660,,1678,,395013
0500301 AR EBT ASHLEY COUNTY,101,,3839,,3940,,33,,1864,,1897,,453480
0500501 AR EBT BAXTER COUNTY,83,,5316,,5399,,28,,2606,,2634,,576146
0500701 AR EBT BENTON COUNTY,250,,17275,,17525,,80,,6850,,6930,,1911468
0500901 AR EBT BOONE COUNTY,178,,5327,,5505,,61,,2370,,2431,,590010
0501101 AR EBT BRADLEY COUNTY,131,,2289,,2420,,39,,1149,,1188,,276564
0501301 AR EBT CALHOUN COUNTY,14,,600,,614,,4,,309,,313,,66402
0501501 AR EBT CARROLL COUNTY,32,,3199,,3231,,9,,1355,,1364,,343382
0501701 AR EBT CHICOT COUNTY,109,,3143,,3252,,33,,1583,,1616,,360642
0501901 AR EBT CLARK COUNTY,36,,2727,,2763,,12,,1382,,1394,,312644
0502101 AR EBT CLAY COUNTY,60,,1960,,2020,,20,,947,,967,,213138
0502301 AR EBT CLEBURNE COUNTY,35,,2628,,2663,,11,,1231,,1242,,287157
0502501 AR EBT CLEVELAND COUNTY,68,,1431,,1499,,21,,697,,718,,172048
0502701 AR EBT COLUMBIA COUNTY,142,,4366,,4508,,42,,2277,,2319,,516969
0502901 AR EBT CONWAY COUNTY,121,,3356,,3477,,39,,1606,,1645,,392763
0503101 AR EBT CRAIGHEAD COUNTY,483,,14428,,14911,,151,,6034,,6185,,1691760
0503301 AR EBT CRAWFORD COUNTY,133,,9315,,9448,,37,,3834,,3871,,1037973
0503501 AR EBT CRITTENDEN COUNTY,638,,13577,,14215,,164,,6171,,6335,,1679471
0503701 AR EBT CROSS COUNTY,68,,3115,,3183,,23,,1434,,1457,,359065
0503901 AR EBT DALLAS COUNTY,37,,1250,,1287,,11,,638,,649,,138266
0504101 AR EBT DESHA COUNTY,57,,3222,,3279,,19,,1593,,1612,,371626
0504301 AR EBT DREW COUNTY,58,,3208,,3266,,22,,1621,,1643,,387634
0504501 AR EBT FAULKNER COUNTY,281,,12685,,12966,,87,,5742,,5829,,1533382
0504701 AR EBT FRANKLIN COUNTY,40,,2832,,2872,,13,,1232,,1245,,314148
0504901 AR EBT FULTON COUNTY,43,,2087,,2130,,12,,988,,1000,,219908
0505101 AR EBT GARLAND COUNTY,285,,15098,,15383,,85,,7153,,7238,,1760169
0505301 AR EBT GRANT COUNTY,36,,1906,,1942,,11,,854,,865,,227931
0505501 AR EBT GREENE COUNTY,117,,7023,,7140,,36,,3159,,3195,,827126
0505701 AR EBT HEMPSTEAD COUNTY,86,,3668,,3754,,31,,1721,,1752,,396768
0505901 AR EBT HOT SPRING COUNTY,56,,5133,,5189,,18,,2447,,2465,,585576
0506101 AR EBT HOWARD COUNTY,45,,2455,,2500,,13,,1090,,1103,,274514
0506301 AR EBT INDEPENDENCE COUNTY,115,,4979,,5094,,37,,2179,,2216,,535676
0506501 AR EBT IZARD COUNTY,46,,2151,,2197,,12,,999,,1011,,225300
0506701 AR EBT JACKSON COUNTY,118,,3225,,3343,,35,,1590,,1625,,382726
0506901 AR EBT JEFFERSON COUNTY,660,,16129,,16789,,216,,8162,,8378,,2061792
0507101 AR EBT JOHNSON COUNTY,82,,4591,,4673,,25,,1998,,2023,,515422
0507301 AR EBT LAFAYETTE COUNTY,61,,1389,,1450,,19,,740,,759,,149816
0507501 AR EBT LAWRENCE COUNTY,84,,2944,,3028,,26,,1336,,1362,,303128
0507701 AR EBT LEE COUNTY,132,,2528,,2660,,43,,1425,,1468,,312465
0507901 AR EBT LINCOLN COUNTY,72,,2289,,2361,,22,,1128,,1150,,267154
0508101 AR EBT LITTLE RIVER COUNTY,56,,2076,,2132,,20,,970,,990,,237036
0508301 AR EBT LOGAN COUNTY,86,,3850,,3936,,25,,1748,,1773,,431126
0508501 AR EBT LONOKE COUNTY,205,,7457,,7662,,63,,3320,,3383,,874039
0508701 AR EBT MADISON COUNTY,30,,2246,,2276,,10,,921,,931,,254851
0508901 AR EBT MARION COUNTY,55,,2566,,2621,,18,,1179,,1197,,272809
0509101 AR EBT MILLER COUNTY,317,,7268,,7585,,98,,3286,,3384,,858276
0509301 AR EBT MISSISSIPPI COUNTY,367,,10032,,10399,,113,,4628,,4741,,1183454
0509501 AR EBT MONROE COUNTY,59,,1799,,1858,,18,,940,,958,,204264
0509701 AR EBT MONTGOMERY COUNTY,16,,1362,,1378,,5,,656,,661,,148340
0509901 AR EBT NEVADA COUNTY,21,,1504,,1525,,7,,683,,690,,168514
0510101 AR EBT NEWTON COUNTY,38,,1179,,1217,,11,,544,,555,,117555
0510301 AR EBT OUACHITA COUNTY,226,,4649,,4875,,67,,2320,,2387,,560151
0510501 AR EBT PERRY COUNTY,21,,1438,,1459,,6,,658,,664,,167251
0510701 AR EBT PHILLIPS COUNTY,514,,6657,,7171,,150,,3327,,3477,,850396
0510901 AR EBT PIKE COUNTY,22,,1818,,1840,,7,,774,,781,,207789
0511101 AR EBT POINSETT COUNTY,168,,5492,,5660,,55,,2543,,2598,,626466
0511301 AR EBT POLK COUNTY,96,,3684,,3780,,30,,1617,,1647,,422565
0511501 AR EBT POPE COUNTY,86,,7631,,7717,,26,,3358,,3384,,848476
0511701 AR EBT PRAIRIE COUNTY,25,,1170,,1195,,9,,569,,578,,125278
0511901 AR EBT PULASKI COUNTY,2360,,58820,,61180,,738,,28694,,29432,,7546878
0512101 AR EBT RANDOLPH COUNTY,46,,2911,,2957,,16,,1375,,1391,,301777
0512301 AR EBT SAINT FRANCIS COUNTY,344,,6389,,6733,,101,,3181,,3282,,807244
0512501 AR EBT SALINE COUNTY,128,,9982,,10110,,40,,4552,,4592,,1203895
0512701 AR EBT SCOTT COUNTY,56,,2001,,2057,,14,,813,,827,,210031
0512901 AR EBT SEARCY COUNTY,28,,1103,,1131,,9,,536,,545,,106757
0513101 AR EBT SEBASTIAN COUNTY,348,,19158,,19506,,108,,8455,,8563,,2200725
0513301 AR EBT SEVIER COUNTY,36,,3020,,3056,,11,,1260,,1271,,334577
0513501 AR EBT SHARP COUNTY,100,,3462,,3562,,29,,1617,,1646,,388261
0513701 AR EBT STONE COUNTY,47,,2195,,2242,,16,,994,,1010,,215339
0513901 AR EBT UNION COUNTY,177,,7348,,7525,,50,,3573,,3623,,888397
0514101 AR EBT VAN BUREN COUNTY,30,,2793,,2823,,10,,1278,,1288,,312467
0514301 AR EBT WASHINGTON COUNTY,404,,20645,,21049,,121,,8649,,8770,,2370086
0514501 AR EBT WHITE COUNTY,345,,11431,,11776,,108,,5043,,5151,,1357644
0514701 AR EBT WOODRUFF COUNTY,37,,1572,,1609,,15,,817,,832,,177630
0514901 AR EBT YELL COUNTY,7,,3017,,3024,,1,,1224,,1225,,321686
0515992 AR EBT 92-1 Field Operations,3,,19,,22,,1,,15,,16,,1807
0515996 AR EBT 96-1 Field Operations,0,,0,,0,,0,,0,,0,,0
0600105 CA EBT ALAMEDA COUNTY DSS,16539,,98881,,115420,,7101,,52948,,60049,,16731000
0600302 CA EBT ALPINE COUNTY DSS,3,,155,,158,,2,,97,,99,,19332
0600501 CA EBT AMADOR COUNTY DSS,481,,2900,,3381,,183,,1598,,1781,,459123
0600702 CA EBT BUTTE COUNTY DSS,4520,,27548,,32068,,1816,,15028,,16844,,4388913
0600901 CA EBT CALAVERAS CO DSW,667,,4566,,5233,,249,,2568,,2817,,696144
0601101 CA EBT COLUSA COUNTY DSW,232,,1088,,1320,,88,,500,,588,,183724
0601302 CA EBT CONTRA COSTA COUNTY DSS,10704,,58936,,69640,,4568,,30283,,34851,,9959462
0601501 CA EBT DEL NORTE CO DSW,1137,,4221,,5358,,414,,2208,,2622,,726414
0601704 CA EBT EL DORADO COUNTY DSS,1398,,11533,,12931,,575,,6631,,7206,,1738667
0601904 CA EBT FRESNO COUNTY DSW,38912,,187611,,226523,,14200,,83149,,97349,,32745333
0602102 CA EBT GLENN CO WELFARE DEPT,612,,2955,,3567,,222,,1302,,1524,,445761
0602303 CA EBT HUMBOLDT CO DSW,2477,,18712,,21189,,985,,11436,,12421,,2928804
0602501 CA EBT IMPERIAL CO DSW,7074,,35949,,43023,,2457,,14951,,17408,,5490562
0602701 CA EBT INYO COUNTY WELF DEPT,330,,1766,,2096,,118,,960,,1078,,265229
