NATIONAL DATA BANK VERSION 8.2,,,,,,,,08/05/2020,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2020,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,986,,6375,,7361,,518,,2796,,3314,,879912
0100301 AL EBT BALDWIN CO FS OFF,1801,,18053,,19854,,1080,,7720,,8800,,2390200
0100501 AL EBT BARBOUR CO FS OFF,788,,4761,,5549,,469,,2058,,2527,,644322
0100701 AL EBT BIBB CO FS OFF,495,,2584,,3079,,297,,1153,,1450,,335999
0100901 AL EBT BLOUNT CO FS OFF,818,,4641,,5459,,520,,1990,,2510,,583569
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,393,,2071,,2464,,234,,902,,1136,,274461
0101301 AL EBT BUTLER CO FSO,693,,3905,,4598,,426,,1755,,2181,,516822
0101501 AL EBT CALHOUN CO FS OFF,2553,,15726,,18279,,1657,,7288,,8945,,2202072
0101701 AL EBT CHAMBERS CO FS OFF,931,,4983,,5914,,639,,2348,,2987,,697703
0101901 AL EBT CHEROKEE CO FS OFFICE,569,,2744,,3313,,387,,1313,,1700,,357389
0102101 AL EBT CHILTON CO FS OFF,957,,6060,,7017,,565,,2622,,3187,,845213
0102301 AL EBT CHOCTAW CO FS OFF,529,,2326,,2855,,346,,1121,,1467,,319677
0102502 AL EBT CLARKE CO FS OFF.,887,,4271,,5158,,562,,1985,,2547,,570160
0102701 AL EBT CLAY CO FS OFF,269,,1248,,1517,,148,,563,,711,,157962
0102901 AL EBT CLEBURNE CO FS OFF,292,,1920,,2212,,193,,871,,1064,,261947
0103101 AL EBT COFFEE CO FS OFF,794,,6410,,7204,,485,,2641,,3126,,834514
0103301 AL EBT COLBERT CO FS OFF,1124,,6050,,7174,,779,,2777,,3556,,807798
0103501 AL EBT CONECUH CO FS OFF,471,,2185,,2656,,325,,1047,,1372,,295323
0103701 AL EBT COOSA CO FSO,242,,1430,,1672,,160,,654,,814,,188555
0103901 AL EBT COVINGTON CO FS OFF,926,,5639,,6565,,581,,2555,,3136,,747037
0104101 AL EBT CRENSHAW CO FSO,427,,2391,,2818,,267,,1137,,1404,,329619
0104301 AL EBT CULLMAN CO FS OFF,1398,,6344,,7742,,944,,2827,,3771,,805333
0104501 AL EBT DALE CO FS OFF,1294,,7728,,9022,,769,,3451,,4220,,1049746
0104701 AL EBT DALLAS CO FS OFF,2673,,10061,,12734,,1577,,4715,,6292,,1515539
0104901 AL EBT DEKALB CO FS OFF,1173,,10758,,11931,,712,,4368,,5080,,1410503
0105101 AL EBT ELMORE CO FS OFF,1154,,8039,,9193,,705,,3411,,4116,,1067833
0105301 AL EBT ESCAMBIA CO FS OFF,994,,6533,,7527,,608,,2805,,3413,,884914
0105501 AL EBT ETOWQH CO FS OFF,2168,,11347,,13515,,1504,,5068,,6572,,1435960
0105701 AL EBT FAYETTE CO FS OFF,552,,2704,,3256,,353,,1322,,1675,,371326
0105901 AL EBT FRANKLIN CO FS OFF,608,,4122,,4730,,422,,1699,,2121,,556007
0106101 AL EBT GENEVA CO FS OFF,674,,4050,,4724,,391,,1766,,2157,,531968
0106301 AL EBT GREENE CO FS OFF,471,,1939,,2410,,327,,893,,1220,,270130
0106501 AL EBT HALE CO FS OFF,697,,2808,,3505,,400,,1373,,1773,,382368
0106701 AL EBT HENRY CO FS OFF,330,,2415,,2745,,217,,1158,,1375,,311207
0106901 AL EBT HOUSTON CO FS OFF,2888,,15158,,18046,,1620,,6739,,8359,,2095390
