NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,07/30/2021,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2021,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1018,,6896,,7914,,552,,3028,,3580,,1654521
0100301 AL EBT BALDWIN CO FS OFF,1808,,19375,,21183,,1106,,8466,,9572,,4481075
0100501 AL EBT BARBOUR CO FS OFF,823,,5084,,5907,,497,,2279,,2776,,1254157
0100701 AL EBT BIBB CO FS OFF,527,,2925,,3452,,329,,1336,,1665,,724244
0100901 AL EBT BLOUNT CO FS OFF,870,,5271,,6141,,551,,2367,,2918,,1306088
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,422,,2290,,2712,,259,,1019,,1278,,577890
0101301 AL EBT BUTLER CO FSO,709,,4495,,5204,,437,,2075,,2512,,1089633
0101501 AL EBT CALHOUN CO FS OFF,2563,,16550,,19113,,1663,,7813,,9476,,4086591
0101701 AL EBT CHAMBERS CO FS OFF,941,,5471,,6412,,646,,2678,,3324,,1369067
0101901 AL EBT CHEROKEE CO FS OFFICE,580,,2929,,3509,,407,,1395,,1802,,738773
0102101 AL EBT CHILTON CO FS OFF,950,,6555,,7505,,568,,2879,,3447,,1613137
0102301 AL EBT CHOCTAW CO FS OFF,577,,2542,,3119,,380,,1249,,1629,,658544
0102502 AL EBT CLARKE CO FS OFF.,910,,3953,,4863,,578,,1890,,2468,,1050309
0102701 AL EBT CLAY CO FS OFF,279,,1391,,1670,,160,,631,,791,,350832
0102901 AL EBT CLEBURNE CO FS OFF,298,,2104,,2402,,196,,959,,1155,,509574
0103101 AL EBT COFFEE CO FS OFF,817,,7060,,7877,,515,,2979,,3494,,1692166
0103301 AL EBT COLBERT CO FS OFF,1130,,6628,,7758,,791,,3121,,3912,,1651140
0103501 AL EBT CONECUH CO FS OFF,468,,2407,,2875,,333,,1215,,1548,,616728
0103701 AL EBT COOSA CO FSO,256,,1545,,1801,,174,,737,,911,,379784
0103901 AL EBT COVINGTON CO FS OFF,947,,6205,,7152,,595,,2813,,3408,,1493550
0104101 AL EBT CRENSHAW CO FSO,451,,2646,,3097,,286,,1258,,1544,,654108
0104301 AL EBT CULLMAN CO FS OFF,1413,,6797,,8210,,954,,3098,,4052,,1740033
0104501 AL EBT DALE CO FS OFF,1331,,8410,,9741,,824,,3865,,4689,,2051323
0104701 AL EBT DALLAS CO FS OFF,2762,,8090,,10852,,1664,,3852,,5516,,2351148
0104901 AL EBT DEKALB CO FS OFF,1214,,11656,,12870,,751,,4804,,5555,,2857641
0105101 AL EBT ELMORE CO FS OFF,1155,,8730,,9885,,726,,3776,,4502,,2067300
0105301 AL EBT ESCAMBIA CO FS OFF,987,,7135,,8122,,609,,3118,,3727,,1683951
0105501 AL EBT ETOWQH CO FS OFF,2224,,13626,,15850,,1572,,6244,,7816,,3380854
0105701 AL EBT FAYETTE CO FS OFF,556,,2835,,3391,,361,,1373,,1734,,717918
0105901 AL EBT FRANKLIN CO FS OFF,618,,4512,,5130,,425,,1882,,2307,,1145865
0106101 AL EBT GENEVA CO FS OFF,707,,4343,,5050,,414,,1934,,2348,,1055226
0106301 AL EBT GREENE CO FS OFF,501,,1979,,2480,,346,,963,,1309,,521302
0106501 AL EBT HALE CO FS OFF,723,,3186,,3909,,418,,1586,,2004,,826953
0106701 AL EBT HENRY CO FS OFF,368,,2581,,2949,,256,,1286,,1542,,633696
0106901 AL EBT HOUSTON CO FS OFF,2863,,17353,,20216,,1673,,7962,,9635,,4258075
0107101 AL EBT JACKSON CO FS OFF,862,,6210,,7072,,537,,2762,,3299,,1505605
0107301 AL EBT JEFFERSON CO FS OFF,15324,,92139,,107463,,9820,,44301,,54121,,22922728
0107501 AL EBT LAMAR CO FS OFF,388,,2179,,2567,,258,,1016,,1274,,540680
0107701 AL EBT LAUDERDALE CO FS OFF,1504,,9015,,10519,,1041,,4286,,5327,,2249113
