NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:34 PM,,,,,
Jul 1990,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1745,,2321,,4066,,464,,968,,1432,,227735
0100301 AL FSP BALDWIN CO FS OFF,2495,,3484,,5979,,638,,1352,,1990,,345536
0100501 AL FSP BARBOUR CO FS OFF,2541,,2528,,5069,,646,,1178,,1824,,286830
0100701 AL FSP BIBB CO FS OFF,857,,1175,,2032,,228,,471,,699,,102976
0100901 AL FSP BLOUNT CO FS OFF,1362,,1324,,2686,,419,,663,,1082,,142205
0101101 AL FSP BULLOCK CO FS OFF,1678,,869,,2547,,413,,446,,859,,138608
0101301 AL FSP BUTLER CO FSO,2239,,2167,,4406,,516,,892,,1408,,239353
0101501 AL FSP CALHOUN CO FS OFF,5011,,5801,,10812,,1365,,2692,,4057,,662529
0101701 AL FSP CHAMBERS CO FS OFF,1926,,1653,,3579,,525,,762,,1287,,206080
0101901 AL FSP CHEROKEE CO FS OFFICE,755,,771,,1526,,235,,407,,642,,80575
0102101 AL FSP CHILTON CO FS OFF,1465,,1861,,3326,,431,,857,,1288,,185248
0102301 AL FSP CHOCTAW CO FS OFF,1596,,1232,,2828,,405,,581,,986,,160450
0102501 AL FSP CLARKE CO FS OFF,2544,,2414,,4958,,550,,961,,1511,,276793
0102701 AL FSP CLAY CO FS OFF,396,,339,,735,,114,,173,,287,,33414
0102901 AL FSP CLEBURNE CO FS OFF,644,,395,,1039,,223,,238,,461,,54646
0103101 AL FSP COFFEE CO FS OFF,1772,,1142,,2914,,559,,610,,1169,,155873
0103301 AL FSP COLBERT CO FS OFF,1556,,2242,,3798,,492,,985,,1477,,211412
0103501 AL FSP CONECUH CO FS OFF,1549,,1667,,3216,,423,,811,,1234,,180507
0103701 AL FSP COOSA CO FSO,496,,381,,877,,144,,190,,334,,42356
0103901 AL FSP COVINGTON CO FS OFF,2279,,2536,,4815,,695,,1249,,1944,,249707
0104101 AL FSP CRENSHAW CO FSO,1201,,564,,1765,,353,,382,,735,,92580
0104301 AL FSP CULLMAN CO FS OFF,2193,,2846,,5039,,740,,1321,,2061,,262546
0104501 AL FSP DALE CO FS OFF,1536,,2611,,4147,,410,,1022,,1432,,240482
0104701 AL FSP DALLAS CO FS OFF,8819,,5137,,13956,,2044,,2695,,4739,,853761
0104901 AL FSP DEKALB CO FS OFF,2236,,2316,,4552,,701,,1125,,1826,,241063
0105101 AL FSP ELMORE CO FS OFF,1949,,2100,,4049,,476,,826,,1302,,211857
0105301 AL FSP ESCAMBIA CO FS OFF,2252,,3044,,5296,,591,,1299,,1890,,305370
0105501 AL FSP ETOWQH CO FS OFF,4119,,5770,,9889,,1308,,2739,,4047,,585263
0105701 AL FSP FAYETTE CO FS OFF,1213,,736,,1949,,385,,482,,867,,108238
0105901 AL FSP FRANKLIN CO FS OFF,1837,,1266,,3103,,612,,825,,1437,,161767
0106101 AL FSP GENEVA CO FS OFF,1569,,1252,,2821,,472,,677,,1149,,152101
0106301 AL FSP GREENE CO FS OFF,2064,,1548,,3612,,527,,699,,1226,,200825
0106501 AL FSP HALE CO FS OFF,1778,,2442,,4220,,419,,922,,1341,,224284
0106701 AL FSP HENRY CO FS OFF,1273,,961,,2234,,414,,553,,967,,117751
0106901 AL FSP HOUSTON CO FS OFF,4008,,4376,,8384,,1117,,1923,,3040,,474855
0107101 AL FSP JACKSON CO FS OFF,2016,,2450,,4466,,626,,1207,,1833,,237475
0107301 AL FSP JEFFERSON CO FS OFF,31923,,29701,,61624,,8828,,13826,,22654,,3984020
0107501 AL FSP LAMAR CO FS OFF,870,,622,,1492,,310,,377,,687,,77264
0107701 AL FSP LAUDERDALE CO FS OFF,2708,,3089,,5797,,805,,1440,,2245,,322791
0107901 AL FSP LAWRENCE CO FS OFF,1727,,1557,,3284,,483,,760,,1243,,175468
0108101 AL FSP LEE CO FOOD STAMP OFF,2878,,3853,,6731,,844,,1674,,2518,,407292
0108301 AL FSP LIMESTONE CO FS OFF,1863,,2460,,4323,,604,,1057,,1661,,280534
0108501 AL FSP LOWNDES CO FS OFF,2232,,1926,,4158,,472,,696,,1168,,236668
0108701 AL FSP MACON CO FS OFF,3293,,2999,,6292,,887,,1517,,2404,,399245
0108901 AL FSP MADISON CO FS OFF,7402,,8406,,15808,,2237,,4041,,6278,,998702
0109101 AL FSP MARENGO CO FS OFC,2749,,2344,,5093,,635,,1041,,1676,,279926
0109301 AL FSP MARION CO FS OFF,1637,,1166,,2803,,571,,677,,1248,,141919
0109501 AL FSP MARSHALL CO FS OFF,3441,,2455,,5896,,1128,,1418,,2546,,321470
0109701 AL FSP MOBILE CO FS OFF,25525,,33017,,58542,,6720,,13924,,20644,,3899085
0109901 AL FSP MONROE CO FS OFF,1758,,1991,,3749,,400,,776,,1176,,202981
0110101 AL FSP MONTGOMERY CO FS OFF,13932,,14132,,28064,,3476,,6167,,9643,,1787495
0110301 AL FSP MORGAN CO FS OFF,2940,,3222,,6162,,882,,1433,,2315,,352731
0110501 AL FSP PERRY CO FS OFF,2598,,2171,,4769,,586,,990,,1576,,276144
0110701 AL FSP PICKENS CO FS OFF,1774,,1436,,3210,,434,,602,,1036,,167336
0110901 AL FSP PIKE CO FOOD STAMP OFC,2925,,1888,,4813,,863,,1054,,1917,,260286
0111101 AL FSP RANDOLPH CO FSO,1183,,973,,2156,,318,,468,,786,,121141
0111301 AL FSP RUSSELL CO FS OFF,2683,,3345,,6028,,767,,1394,,2161,,359917
0111501 AL FSP ST CLAIR CO FS OFF,1475,,2371,,3846,,383,,957,,1340,,226834
0111701 AL FSP SHELBY CO FS OFF,1619,,1979,,3598,,480,,895,,1375,,213731
0111901 AL FSP SUMTER CO FS OFF,2933,,1892,,4825,,726,,954,,1680,,281006
0112101 AL FSP TALLADEGA CO FS OFF,5200,,4848,,10048,,1387,,2229,,3616,,587328
0112301 AL FSP TALLAPOOSA CO FS OFF,2070,,1956,,4026,,579,,972,,1551,,220892
0112501 AL FSP TUSCALOOSA CO FS OFF,7758,,8019,,15777,,2120,,3690,,5810,,963118
0112701 AL FSP WALKER CO FS OFF,3050,,2551,,5601,,859,,1248,,2107,,328923
0112901 AL FSP WASHINGTON CO F S OFC,1491,,1249,,2740,,408,,601,,1009,,161963
0113101 AL FSP WILCOX CO FS OFF,3359,,2222,,5581,,699,,1095,,1794,,314438
0113301 AL FSP WINSTON CO FS OFF,780,,989,,1769,,267,,472,,739,,91208
0211005 AK FSP ALASKA,11663,,15155,,26818,,4233,,4632,,8865,,2193022
0400101 AZ FSP APACHE,7668,,12873,,20541,,1725,,3261,,4986,,1193023
0400301 AZ FSP COCHISE,4699,,6705,,11404,,1445,,2546,,3991,,677189
0400501 AZ FSP COCONINO,4017,,6881,,10898,,1075,,2055,,3130,,625502
0400701 AZ FSP GILA,2889,,4108,,6997,,779,,1526,,2305,,412355
0400901 AZ FSP GRAHAM,1765,,2904,,4669,,496,,1023,,1519,,268139
0401101 AZ FSP GREENLEE,371,,482,,853,,111,,206,,317,,48785
0401301 AZ FSP MARICOPA,75075,,77223,,152298,,22912,,32744,,55656,,9728410
0401501 AZ FSP MOHAVE,2287,,4486,,6773,,724,,1780,,2504,,428136
0401701 AZ FSP NAVAJO,5600,,9560,,15160,,1357,,2611,,3968,,930069
0401901 AZ FSP PIMA,25570,,35757,,61327,,7851,,14911,,22762,,3812414
0402101 AZ FSP PINAL,8934,,9632,,18566,,2436,,3575,,6011,,1099606
0402301 AZ FSP SANTA CRUZ,1022,,3045,,4067,,288,,972,,1260,,223465
0402501 AZ FSP YAVAPAI,2568,,4071,,6639,,798,,1764,,2562,,392638
0402701 AZ FSP YUMA,4315,,9445,,13760,,1260,,3174,,4434,,812589
0402901 AZ FSP LA PAZ CO DES,599,,889,,1488,,172,,353,,525,,95093
0500101 AR FSP ARKANSAS COUNTY,553,,1809,,2362,,174,,706,,880,,126772
0500301 AR FSP ASHLEY COUNTY,644,,2353,,2997,,200,,855,,1055,,161807
0500501 AR FSP BAXTER COUNTY,111,,1622,,1733,,35,,603,,638,,88815
0500701 AR FSP BENTON COUNTY,390,,2782,,3172,,121,,1022,,1143,,164343
0500901 AR FSP BOONE COUNTY,256,,1743,,1999,,82,,708,,790,,102694
0501101 AR FSP BRADLEY COUNTY,438,,1093,,1531,,147,,462,,609,,84546
0501301 AR FSP CALHOUN COUNTY,91,,590,,681,,32,,221,,253,,34716
0501501 AR FSP CARROLL COUNTY,124,,787,,911,,36,,342,,378,,49879
0501701 AR FSP CHICOT COUNTY,1087,,2852,,3939,,298,,1002,,1300,,205932
0501901 AR FSP CLARK COUNTY,412,,1576,,1988,,137,,680,,817,,106639
0502101 AR FSP CLAY COUNTY,299,,1301,,1600,,95,,620,,715,,72021
0502301 AR FSP CLEBURNE COUNTY,188,,955,,1143,,60,,401,,461,,59114
0502501 AR FSP CLEVELAND COUNTY,147,,667,,814,,45,,287,,332,,40648
0502701 AR FSP COLUMBIA COUNTY,982,,3000,,3982,,290,,1235,,1525,,222188
0502901 AR FSP CONWAY COUNTY,430,,1900,,2330,,127,,873,,1000,,118795
0503101 AR FSP CRAIGHEAD COUNTY,1263,,4291,,5554,,402,,1707,,2109,,300573
0503301 AR FSP CRAWFORD COUNTY,668,,2681,,3349,,219,,920,,1139,,179575
0503501 AR FSP CRITTENDEN COUNTY,1944,,6414,,8358,,516,,2005,,2521,,439975
0503701 AR FSP CROSS COUNTY,705,,2069,,2774,,319,,551,,870,,130776
0503901 AR FSP DALLAS COUNTY,195,,968,,1163,,59,,373,,432,,61583
0504101 AR FSP DESHA COUNTY,955,,2644,,3599,,273,,914,,1187,,189634
0504301 AR FSP DREW COUNTY,480,,1380,,1860,,155,,582,,737,,102159
0504501 AR FSP FAULKNER COUNTY,694,,1981,,2675,,218,,816,,1034,,157496
0504701 AR FSP FRANKLIN COUNTY,141,,1033,,1174,,53,,403,,456,,64058
0504901 AR FSP FULTON COUNTY,107,,1361,,1468,,32,,537,,569,,73970
0505101 AR FSP GARLAND COUNTY,1223,,4036,,5259,,389,,1660,,2049,,314845
0505301 AR FSP GRANT COUNTY,81,,641,,722,,25,,257,,282,,35435
0505501 AR FSP GREENE COUNTY,284,,2094,,2378,,93,,903,,996,,119175
0505701 AR FSP HEMPSTEAD COUNTY,661,,2308,,2969,,190,,964,,1154,,162766
0505901 AR FSP HOT SPRING COUNTY,521,,1941,,2462,,168,,797,,965,,136870
0506101 AR FSP HOWARD COUNTY,57,,903,,960,,17,,343,,360,,54363
0506301 AR FSP INDEPENDENCE COUNTY,400,,1960,,2360,,128,,884,,1012,,112851
0506501 AR FSP IZARD COUNTY,137,,1013,,1150,,45,,455,,500,,56195
0506701 AR FSP JACKSON COUNTY,590,,1848,,2438,,179,,798,,977,,121357
0506901 AR FSP JEFFERSON COUNTY,4710,,10100,,14810,,1425,,4016,,5441,,866025
