NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:10 PM,,,,,
Jul 1998,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,990,,1640,,2630,,288,,738,,1026,,177026
0100301 AL EBT BALDWIN CO FS OFF,1458,,3463,,4921,,469,,1370,,1839,,297685
0100301 AL FSP BALDWIN CO FS OFF,,,5,,5,,,,1,,1,,897
0100501 AL EBT BARBOUR CO FS OFF,2016,,2847,,4863,,547,,1310,,1857,,328837
0100701 AL EBT BIBB CO FS OFF,582,,1222,,1804,,172,,506,,678,,105846
0100901 AL EBT BLOUNT CO FS OFF,1109,,1724,,2833,,340,,796,,1136,,188287
0101101 AL EBT BULLOCK CO FS OFF,1004,,1153,,2157,,273,,514,,787,,143693
0101301 AL EBT BUTLER CO FSO,1251,,2035,,3286,,332,,942,,1274,,207897
0101501 AL EBT CALHOUN CO FS OFF,3882,,7196,,11078,,1128,,3189,,4317,,807501
0101501 AL FSP CALHOUN CO FS OFF,,,4,,4,,,,1,,1,,377
0101701 AL EBT CHAMBERS CO FS OFF,1369,,2406,,3775,,406,,1053,,1459,,258789
0101901 AL EBT CHEROKEE CO FS OFFICE,734,,1352,,2086,,242,,583,,825,,142476
0102101 AL EBT CHILTON CO FS OFF,1222,,2401,,3623,,375,,1044,,1419,,238270
0102101 AL FSP CHILTON CO FS OFF,4,,5,,9,,1,,1,,2,,577
0102301 AL EBT CHOCTAW CO FS OFF,901,,1405,,2306,,237,,676,,913,,155568
0102502 AL EBT CLARKE CO FS OFF.,1725,,3212,,4937,,740,,1221,,1961,,332633
0102502 AL FSP CLARKE CO FS OFF.,4,,,,4,,1,,,,1,,21
0102701 AL EBT CLAY CO FS OFF,381,,446,,827,,123,,226,,349,,44271
0102901 AL EBT CLEBURNE CO FS OFF,401,,646,,1047,,132,,299,,431,,64254
0102901 AL FSP CLEBURNE CO FS OFF,,,3,,3,,,,1,,1,,64
0103101 AL EBT COFFEE CO FS OFF,1068,,1787,,2855,,331,,799,,1130,,175823
0103301 AL EBT COLBERT CO FS OFF,1231,,2826,,4057,,401,,1247,,1648,,266459
0103501 AL EBT CONECUH CO FS OFF,1570,,1872,,3442,,427,,960,,1387,,236415
0103701 AL EBT COOSA CO FSO,381,,563,,944,,102,,281,,383,,58058
0103901 AL EBT COVINGTON CO FS OFF,1714,,3173,,4887,,581,,1458,,2039,,319403
0104101 AL EBT CRENSHAW CO FSO,700,,851,,1551,,231,,448,,679,,94881
0104301 AL EBT CULLMAN CO FS OFF,1567,,2233,,3800,,563,,1119,,1682,,243040
0104501 AL EBT DALE CO FS OFF,1920,,4484,,6404,,547,,1896,,2443,,450233
0104501 AL FSP DALE CO FS OFF,,,4,,4,,,,1,,1,,375
0104701 AL EBT DALLAS CO FS OFF,5340,,6628,,11968,,1279,,3261,,4540,,830393
0104901 AL EBT DEKALB CO FS OFF,1647,,2325,,3972,,564,,1126,,1690,,260701
0105101 AL EBT ELMORE CO FS OFF,1425,,2485,,3910,,375,,1002,,1377,,252088
0105301 AL EBT ESCAMBIA CO FS OFF,1285,,2889,,4174,,399,,1214,,1613,,294200
0105501 AL EBT ETOWQH CO FS OFF,3137,,5949,,9086,,1068,,2818,,3886,,623730
0105501 AL FSP ETOWQH CO FS OFF,,,3,,3,,,,1,,1,,321
0105701 AL EBT FAYETTE CO FS OFF,902,,973,,1875,,323,,554,,877,,122020
0105901 AL EBT FRANKLIN CO FS OFF,1179,,1740,,2919,,377,,854,,1231,,188078
0106101 AL EBT GENEVA CO FS OFF,968,,1595,,2563,,338,,743,,1081,,173562
0106301 AL EBT GREENE CO FS OFF,1005,,1798,,2803,,297,,792,,1089,,185681
0106501 AL EBT HALE CO FS OFF,979,,2077,,3056,,265,,827,,1092,,190639
0106701 AL EBT HENRY CO FS OFF,1022,,1024,,2046,,339,,597,,936,,131390
0106901 AL EBT HOUSTON CO FS OFF,3012,,5618,,8630,,938,,2505,,3443,,575463
0106901 AL FSP HOUSTON CO FS OFF,,,6,,6,,,,2,,2,,174
0107101 AL EBT JACKSON CO FS OFF,1528,,2393,,3921,,509,,1151,,1660,,244962
0107301 AL EBT JEFFERSON CO FS OFF,21408,,30516,,51924,,6132,,14241,,20373,,3722123
0107501 AL EBT LAMAR CO FS OFF,633,,995,,1628,,244,,510,,754,,102733
0107701 AL EBT LAUDERDALE CO FS OFF,1963,,3877,,5840,,637,,1686,,2323,,400026
0107901 AL EBT LAWRENCE CO FS OFF,1008,,1596,,2604,,316,,726,,1042,,160398
0108101 AL EBT LEE CO FOOD STAMP OFF,2312,,3791,,6103,,751,,1656,,2407,,422847
0108101 AL FSP LEE CO FOOD STAMP OFF,,,3,,3,,,,1,,1,,87
0108302 AL EBT LIMESTONE CO. FS OFF,1396,,3175,,4571,,787,,1227,,2014,,309959
0108501 AL EBT LOWNDES CO FS OFF,1350,,2222,,3572,,333,,979,,1312,,238620
0108701 AL EBT MACON CO FS OFF,2226,,3879,,6105,,609,,1822,,2431,,464675
0108902 AL EBT MADISON CO. FS OFF,4311,,10010,,14321,,2086,,3905,,5991,,1042367
0108902 AL FSP MADISON CO. FS OFF,2,,,,2,,1,,,,1,,224
0109101 AL EBT MARENGO CO FS OFC,1881,,2238,,4119,,509,,1038,,1547,,254219
0109101 AL FSP MARENGO CO FS OFC,,,6,,6,,,,2,,2,,352
0109301 AL EBT MARION CO FS OFF,1027,,1212,,2239,,366,,644,,1010,,143543
0109501 AL EBT MARSHALL CO FS OFF,2239,,4101,,6340,,760,,1837,,2597,,439836
0109701 AL EBT MOBILE CO FS OFF,17169,,35054,,52223,,4714,,14417,,19131,,3877182
0109701 AL FSP MOBILE CO FS OFF,,,2,,2,,,,1,,1,,329
0109901 AL EBT MONROE CO FS OFF,1213,,3072,,4285,,319,,1218,,1537,,316377
0110101 AL EBT MONTGOMERY CO FS OFF,11837,,18526,,30363,,2864,,8054,,10918,,2200792
0110301 AL EBT MORGAN CO FS OFF,1702,,2976,,4678,,560,,1309,,1869,,319016
0110501 AL EBT PERRY CO FS OFF,1761,,2518,,4279,,481,,1192,,1673,,294227
0110701 AL EBT PICKENS CO FS OFF,1484,,2251,,3735,,376,,1017,,1393,,240231
0110901 AL EBT PIKE CO FOOD STAMP OFC,1810,,3005,,4815,,545,,1442,,1987,,322122
0111101 AL EBT RANDOLPH CO FSO,850,,1176,,2026,,248,,548,,796,,132783
0111301 AL EBT RUSSELL CO FS OFF,2226,,3842,,6068,,674,,1645,,2319,,436643
0111301 AL FSP RUSSELL CO FS OFF,,,4,,4,,,,1,,1,,314
0111501 AL EBT ST CLAIR CO FS OFF,1296,,3072,,4368,,391,,1255,,1646,,302127
0111501 AL FSP ST CLAIR CO FS OFF,,,2,,2,,,,1,,1,,176
0111701 AL EBT SHELBY CO FS OFF,1147,,2100,,3247,,341,,983,,1324,,221105
0111901 AL EBT SUMTER CO FS OFF,1931,,2036,,3967,,534,,1083,,1617,,265052
0112101 AL EBT TALLADEGA CO FS OFF,3852,,5912,,9764,,1110,,2891,,4001,,680776
0112301 AL EBT TALLAPOOSA CO FS OFF,1370,,2618,,3988,,412,,1185,,1597,,261308
0112301 AL FSP TALLAPOOSA CO FS OFF,,,5,,5,,,,2,,2,,464
0112501 AL EBT TUSCALOOSA CO FS OFF,4931,,9699,,14630,,1439,,4247,,5686,,1011681
0112501 AL FSP TUSCALOOSA CO FS OFF,,,4,,4,,,,1,,1,,182
0112701 AL EBT WALKER CO FS OFF,1645,,2546,,4191,,478,,1187,,1665,,289230
0112901 AL EBT WASHINGTON CO F S OFC,976,,1341,,2317,,275,,637,,912,,156231
0113101 AL EBT WILCOX CO FS OFF,2291,,2503,,4794,,555,,1261,,1816,,314871
0113301 AL EBT WINSTON CO FS OFF,686,,708,,1394,,241,,386,,627,,81524
0211005 AK EBT ALASKA,20358,,23104,,43462,,6966,,7459,,14425,,4050775
0211005 AK FSP ALASKA,233,,139,,372,,58,,25,,83,,47788
0400101 AZ FSP APACHE,8966,,12446,,21412,,2058,,3562,,5620,,1474660
0400301 AZ FSP COCHISE,3912,,6753,,10665,,1232,,2828,,4060,,768982
0400501 AZ FSP COCONINO,3869,,6272,,10141,,973,,1930,,2903,,733212
0400701 AZ FSP GILA,2827,,3517,,6344,,753,,1481,,2234,,473456
0400901 AZ FSP GRAHAM,1267,,2246,,3513,,359,,895,,1254,,242104
0401101 AZ FSP GREENLEE,128,,286,,414,,43,,145,,188,,29727
