NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:50 AM,,,,,
Jul 2008,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,993,,3941,,4934,,269,,1628,,1897,,471600
0100301 AL EBT BALDWIN CO FS OFF,1698,,8171,,9869,,501,,3100,,3601,,942148
0100501 AL EBT BARBOUR CO FS OFF,1379,,3781,,5160,,384,,1657,,2041,,490526
0100701 AL EBT BIBB CO FS OFF,830,,1869,,2699,,234,,801,,1035,,239915
0100901 AL EBT BLOUNT CO FS OFF,1187,,3994,,5181,,375,,1582,,1957,,497038
0101101 AL EBT BULLOCK CO FS OFF,782,,1541,,2323,,200,,720,,920,,212828
0101301 AL EBT BUTLER CO FSO,1081,,2902,,3983,,289,,1397,,1686,,373912
0101501 AL EBT CALHOUN CO FS OFF,3952,,12771,,16723,,1238,,5691,,6929,,1679551
0101701 AL EBT CHAMBERS CO FS OFF,1510,,4582,,6092,,456,,2025,,2481,,590292
0101901 AL EBT CHEROKEE CO FS OFFICE,864,,2849,,3713,,279,,1209,,1488,,356931
0102101 AL EBT CHILTON CO FS OFF,1398,,4842,,6240,,427,,1988,,2415,,608750
0102301 AL EBT CHOCTAW CO FS OFF,697,,2084,,2781,,215,,986,,1201,,265703
0102502 AL EBT CLARKE CO FS OFF.,1185,,4001,,5186,,613,,1540,,2153,,463011
0102701 AL EBT CLAY CO FS OFF,349,,882,,1231,,109,,366,,475,,109297
0102901 AL EBT CLEBURNE CO FS OFF,405,,1243,,1648,,130,,534,,664,,151150
0103101 AL EBT COFFEE CO FS OFF,976,,3256,,4232,,294,,1314,,1608,,371964
0103301 AL EBT COLBERT CO FS OFF,1448,,4870,,6318,,475,,2133,,2608,,601554
0103501 AL EBT CONECUH CO FS OFF,871,,2665,,3536,,283,,1248,,1531,,345337
0103701 AL EBT COOSA CO FSO,370,,993,,1363,,110,,467,,577,,123336
0103901 AL EBT COVINGTON CO FS OFF,1420,,4892,,6312,,451,,2160,,2611,,597003
0104101 AL EBT CRENSHAW CO FSO,614,,1560,,2174,,211,,739,,950,,204240
0104301 AL EBT CULLMAN CO FS OFF,1857,,5973,,7830,,597,,2466,,3063,,700762
0104501 AL EBT DALE CO FS OFF,1786,,6031,,7817,,524,,2675,,3199,,763121
0104701 AL EBT DALLAS CO FS OFF,4331,,9525,,13856,,1091,,4576,,5667,,1370518
0104901 AL EBT DEKALB CO FS OFF,1657,,6522,,8179,,508,,2562,,3070,,748488
0105101 AL EBT ELMORE CO FS OFF,1659,,5490,,7149,,458,,2246,,2704,,679349
0105301 AL EBT ESCAMBIA CO FS OFF,1479,,5758,,7237,,439,,2354,,2793,,726261
0105501 AL EBT ETOWQH CO FS OFF,2801,,8996,,11797,,927,,3981,,4908,,1100868
0105701 AL EBT FAYETTE CO FS OFF,935,,1985,,2920,,309,,993,,1302,,259742
0105901 AL EBT FRANKLIN CO FS OFF,1140,,3551,,4691,,366,,1566,,1932,,440719
0106101 AL EBT GENEVA CO FS OFF,834,,3103,,3937,,257,,1265,,1522,,377472
0106301 AL EBT GREENE CO FS OFF,743,,1705,,2448,,237,,735,,972,,231138
0106501 AL EBT HALE CO FS OFF,843,,2169,,3012,,207,,928,,1135,,255437
0106701 AL EBT HENRY CO FS OFF,672,,2190,,2862,,195,,1011,,1206,,257717
0106901 AL EBT HOUSTON CO FS OFF,3358,,9634,,12992,,1036,,4220,,5256,,1248362
0107101 AL EBT JACKSON CO FS OFF,1329,,5390,,6719,,430,,2198,,2628,,619001
