NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,04/10/2017,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2014,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,940,,6792,,7732,,335,,2897,,3232,,961108
0100301 AL EBT BALDWIN CO FS OFF,1741,,21577,,23318,,679,,8457,,9136,,2874528
0100501 AL EBT BARBOUR CO FS OFF,783,,5601,,6384,,279,,2443,,2722,,789998
0100701 AL EBT BIBB CO FS OFF,509,,3369,,3878,,194,,1361,,1555,,456653
0100901 AL EBT BLOUNT CO FS OFF,1011,,7131,,8142,,417,,2791,,3208,,963893
0100999 AL EBT AESAP - Alabama Dept. of HR,20833,,30089,,50922,,19855,,28502,,48357,,3620926
0101101 AL EBT BULLOCK CO FS OFF,452,,2423,,2875,,150,,1077,,1227,,349301
0101301 AL EBT BUTLER CO FSO,702,,4477,,5179,,271,,2019,,2290,,622842
0101501 AL EBT CALHOUN CO FS OFF,2870,,21536,,24406,,1298,,9774,,11072,,3109172
0101701 AL EBT CHAMBERS CO FS OFF,953,,6533,,7486,,405,,2924,,3329,,940205
0101901 AL EBT CHEROKEE CO FS OFFICE,623,,4156,,4779,,261,,1796,,2057,,574296
0102101 AL EBT CHILTON CO FS OFF,972,,7338,,8310,,411,,3046,,3457,,1029006
0102301 AL EBT CHOCTAW CO FS OFF,449,,2709,,3158,,213,,1250,,1463,,387635
0102502 AL EBT CLARKE CO FS OFF.,891,,5456,,6347,,370,,2457,,2827,,760625
0102701 AL EBT CLAY CO FS OFF,259,,1839,,2098,,110,,704,,814,,226628
0102901 AL EBT CLEBURNE CO FS OFF,277,,2266,,2543,,131,,932,,1063,,300633
0103101 AL EBT COFFEE CO FS OFF,708,,6450,,7158,,280,,2575,,2855,,861232
0103301 AL EBT COLBERT CO FS OFF,1081,,7769,,8850,,560,,3458,,4018,,1048715
0103501 AL EBT CONECUH CO FS OFF,460,,3144,,3604,,204,,1402,,1606,,445513
0103701 AL EBT COOSA CO FSO,240,,1598,,1838,,105,,717,,822,,223098
0103901 AL EBT COVINGTON CO FS OFF,787,,6929,,7716,,321,,2869,,3190,,933038
0104101 AL EBT CRENSHAW CO FSO,380,,2515,,2895,,162,,1117,,1279,,355160
0104301 AL EBT CULLMAN CO FS OFF,1337,,10759,,12096,,589,,4246,,4835,,1406398
0104501 AL EBT DALE CO FS OFF,1220,,9021,,10241,,521,,4020,,4541,,1286476
0104701 AL EBT DALLAS CO FS OFF,3024,,13172,,16196,,1229,,6281,,7510,,2088813
0104901 AL EBT DEKALB CO FS OFF,1102,,13593,,14695,,438,,5138,,5576,,1762544
0105101 AL EBT ELMORE CO FS OFF,1287,,10693,,11980,,503,,4406,,4909,,1490174
0105301 AL EBT ESCAMBIA CO FS OFF,914,,8448,,9362,,393,,3452,,3845,,1172276
0105501 AL EBT ETOWQH CO FS OFF,2064,,14183,,16247,,1052,,6129,,7181,,1858390
0105701 AL EBT FAYETTE CO FS OFF,490,,3189,,3679,,241,,1449,,1690,,442082
0105901 AL EBT FRANKLIN CO FS OFF,712,,5537,,6249,,304,,2246,,2550,,739028
0106101 AL EBT GENEVA CO FS OFF,609,,5246,,5855,,241,,2077,,2318,,709185
0106301 AL EBT GREENE CO FS OFF,456,,2601,,3057,,200,,1203,,1403,,373017
