NATIONAL DATA BANK VERSION 8.2 ,,,,,,,,06/05/2019,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2018,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,941,,6741,,7682,,528,,2847,,3375,,912957
0100301 AL EBT BALDWIN CO FS OFF,1876,,18156,,20032,,1125,,7610,,8735,,2401639
0100501 AL EBT BARBOUR CO FS OFF,855,,5204,,6059,,481,,2266,,2747,,718994
0100701 AL EBT BIBB CO FS OFF,514,,2838,,3352,,312,,1262,,1574,,377125
0100901 AL EBT BLOUNT CO FS OFF,936,,4982,,5918,,582,,2153,,2735,,652491
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,443,,2328,,2771,,253,,1009,,1262,,319631
0101301 AL EBT BUTLER CO FSO,739,,4186,,4925,,438,,1887,,2325,,549482
0101501 AL EBT CALHOUN CO FS OFF,2733,,17233,,19966,,1690,,7868,,9558,,2383593
0101701 AL EBT CHAMBERS CO FS OFF,989,,5485,,6474,,664,,2492,,3156,,750816
0101901 AL EBT CHEROKEE CO FS OFFICE,620,,3100,,3720,,401,,1450,,1851,,399463
0102101 AL EBT CHILTON CO FS OFF,942,,6356,,7298,,553,,2678,,3231,,879045
0102301 AL EBT CHOCTAW CO FS OFF,577,,2419,,2996,,372,,1161,,1533,,339625
0102502 AL EBT CLARKE CO FS OFF.,922,,4605,,5527,,570,,2143,,2713,,620873
0102701 AL EBT CLAY CO FS OFF,260,,1366,,1626,,140,,614,,754,,164990
0102901 AL EBT CLEBURNE CO FS OFF,313,,1974,,2287,,192,,901,,1093,,268213
0103101 AL EBT COFFEE CO FS OFF,776,,6635,,7411,,476,,2704,,3180,,868525
0103301 AL EBT COLBERT CO FS OFF,1137,,6405,,7542,,760,,2983,,3743,,856497
0103501 AL EBT CONECUH CO FS OFF,506,,2437,,2943,,344,,1146,,1490,,332860
0103701 AL EBT COOSA CO FSO,237,,1512,,1749,,155,,687,,842,,198394
0103901 AL EBT COVINGTON CO FS OFF,933,,6127,,7060,,583,,2690,,3273,,812535
0104101 AL EBT CRENSHAW CO FSO,466,,2474,,2940,,291,,1194,,1485,,346105
0104301 AL EBT CULLMAN CO FS OFF,1462,,7557,,9019,,927,,3260,,4187,,965366
0104501 AL EBT DALE CO FS OFF,1319,,8386,,9705,,797,,3736,,4533,,1156904
0104701 AL EBT DALLAS CO FS OFF,2860,,11026,,13886,,1649,,5127,,6776,,1663030
0104901 AL EBT DEKALB CO FS OFF,1304,,11675,,12979,,795,,4658,,5453,,1500888
0105101 AL EBT ELMORE CO FS OFF,1162,,8308,,9470,,720,,3508,,4228,,1101734
0105301 AL EBT ESCAMBIA CO FS OFF,1067,,7032,,8099,,648,,2994,,3642,,950938
0105501 AL EBT ETOWQH CO FS OFF,2234,,11325,,13559,,1519,,5136,,6655,,1437165
0105701 AL EBT FAYETTE CO FS OFF,565,,3038,,3603,,363,,1438,,1801,,411470
0105901 AL EBT FRANKLIN CO FS OFF,666,,4443,,5109,,451,,1876,,2327,,604197
0106101 AL EBT GENEVA CO FS OFF,667,,4233,,4900,,400,,1826,,2226,,554146
0106301 AL EBT GREENE CO FS OFF,489,,2260,,2749,,320,,1026,,1346,,313265
0106501 AL EBT HALE CO FS OFF,729,,3144,,3873,,409,,1489,,1898,,413027
0106701 AL EBT HENRY CO FS OFF,361,,2480,,2841,,233,,1203,,1436,,321727
0106901 AL EBT HOUSTON CO FS OFF,2860,,16146,,19006,,1624,,7184,,8808,,2237674
0107101 AL EBT JACKSON CO FS OFF,901,,6147,,7048,,554,,2694,,3248,,795849
0107301 AL EBT JEFFERSON CO FS OFF,15726,,89610,,105336,,9793,,41854,,51647,,12962602
0107501 AL EBT LAMAR CO FS OFF,425,,2127,,2552,,281,,971,,1252,,288246
0107701 AL EBT LAUDERDALE CO FS OFF,1572,,9067,,10639,,1055,,4138,,5193,,1185805
0107901 AL EBT LAWRENCE CO FS OFF,840,,4872,,5712,,514,,2107,,2621,,651532
0108101 AL EBT LEE CO FOOD STAMP OFF,1857,,14686,,16543,,1118,,6325,,7443,,1950226
0108302 AL EBT LIMESTONE CO. FS OFF,1201,,7516,,8717,,785,,3216,,4001,,977508
0108501 AL EBT LOWNDES CO FS OFF,662,,2906,,3568,,396,,1409,,1805,,424297
0108701 AL EBT MACON CO FS OFF,885,,4253,,5138,,547,,2314,,2861,,639164
0108902 AL EBT MADISON CO. FS OFF,4147,,33956,,38103,,2618,,15428,,18046,,4687110
0109101 AL EBT MARENGO CO FS OFC,1006,,3818,,4824,,677,,1840,,2517,,520529
0109301 AL EBT MARION CO FS OFF,694,,4369,,5063,,444,,1946,,2390,,564617
0109501 AL EBT MARSHALL CO FS OFF,1672,,12689,,14361,,1063,,5277,,6340,,1650407
0109701 AL EBT MOBILE CO FS OFF,10645,,72530,,83175,,6540,,32100,,38640,,10236805
0109901 AL EBT MONROE CO FS OFF,635,,3436,,4071,,383,,1507,,1890,,451002
0110101 AL EBT MONTGOMERY CO FS OFF,7670,,44091,,51761,,4119,,19988,,24107,,6666627
0110301 AL EBT MORGAN CO FS OFF,1910,,13458,,15368,,1263,,5748,,7011,,1814113
0110501 AL EBT PERRY CO FS OFF,775,,2749,,3524,,471,,1320,,1791,,384823
0110701 AL EBT PICKENS CO FS OFF,659,,2981,,3640,,410,,1306,,1716,,388327
0110901 AL EBT PIKE CO FOOD STAMP OFC,1123,,5852,,6975,,713,,2841,,3554,,831605
0111101 AL EBT RANDOLPH CO FSO,681,,4273,,4954,,357,,1838,,2195,,570755
0111301 AL EBT RUSSELL CO FS OFF,1491,,11138,,12629,,817,,4671,,5488,,1539850
0111501 AL EBT ST CLAIR CO FS OFF,1402,,9063,,10465,,803,,3873,,4676,,1236690
0111701 AL EBT SHELBY CO FS OFF,1208,,10814,,12022,,692,,4743,,5435,,1455447
0111901 AL EBT SUMTER CO FS OFF,800,,2838,,3638,,504,,1441,,1945,,415838
0112101 AL EBT TALLADEGA CO FS OFF,2268,,11011,,13279,,1498,,5101,,6599,,1513983
0112301 AL EBT TALLAPOOSA CO FS OFF,1159,,6239,,7398,,750,,2844,,3594,,855818
0112501 AL EBT TUSCALOOSA CO FS OFF,3824,,21890,,25714,,2169,,9524,,11693,,3003856
0112701 AL EBT WALKER CO FS OFF,1565,,8617,,10182,,971,,3825,,4796,,1182090
0112901 AL EBT WASHINGTON CO F S OFC,430,,2412,,2842,,296,,1129,,1425,,319010
0113101 AL EBT WILCOX CO FS OFF,955,,3265,,4220,,583,,1501,,2084,,482680
0113301 AL EBT WINSTON CO FS OFF,487,,2608,,3095,,310,,1119,,1429,,334219
0211005 AK EBT ALASKA,11438,,74944,,86382,,6039,,31815,,37854,,14656778
0400101 AZ EBT APACHE,22,,23239,,23261,,5,,9807,,9812,,2919671
0400301 AZ EBT COCHISE,501,,21219,,21720,,150,,10651,,10801,,2430338
0400501 AZ EBT COCONINO,61,,17234,,17295,,19,,7858,,7877,,2072910
0400701 AZ EBT GILA,85,,10728,,10813,,27,,5168,,5195,,1366057
0400901 AZ EBT GRAHAM,93,,5788,,5881,,31,,2707,,2738,,697146
0401101 AZ EBT GREENLEE,17,,662,,679,,6,,341,,347,,90083
0401301 AZ EBT MARICOPA,11582,,423100,,434682,,3476,,193110,,196586,,53090729
0401501 AZ EBT MOHAVE,854,,32937,,33791,,267,,18113,,18380,,3882558
0401701 AZ EBT NAVAJO,316,,27605,,27921,,88,,11594,,11682,,3484541
0401901 AZ EBT PIMA,4054,,130256,,134310,,1165,,65149,,66314,,15987014
0402101 AZ EBT PINAL,1254,,46143,,47397,,359,,20185,,20544,,5708214
0402301 AZ EBT SANTA CRUZ,261,,10993,,11254,,69,,4567,,4636,,1185117
0402501 AZ EBT YAVAPAI,326,,18352,,18678,,94,,10035,,10129,,2080575
0402701 AZ EBT YUMA,698,,41633,,42331,,190,,17220,,17410,,4835776
0402901 AZ EBT LA PAZ CO DES,54,,3323,,3377,,15,,1670,,1685,,404672
0500101 AR EBT ARKANSAS COUNTY,21,,2711,,2732,,7,,1295,,1302,,296898
0500301 AR EBT ASHLEY COUNTY,85,,3134,,3219,,25,,1489,,1514,,345403
0500501 AR EBT BAXTER COUNTY,60,,4342,,4402,,22,,2169,,2191,,448412
0500701 AR EBT BENTON COUNTY,125,,12730,,12855,,40,,5046,,5086,,1345764
0500901 AR EBT BOONE COUNTY,162,,4501,,4663,,51,,1992,,2043,,465443
0501101 AR EBT BRADLEY COUNTY,63,,1969,,2032,,19,,948,,967,,214835
0501301 AR EBT CALHOUN COUNTY,4,,474,,478,,1,,245,,246,,52660
0501501 AR EBT CARROLL COUNTY,9,,2554,,2563,,4,,1063,,1067,,257950
0501701 AR EBT CHICOT COUNTY,92,,2587,,2679,,26,,1232,,1258,,277449
0501901 AR EBT CLARK COUNTY,15,,2236,,2251,,7,,1086,,1093,,244615
0502101 AR EBT CLAY COUNTY,46,,1717,,1763,,12,,807,,819,,159270
0502301 AR EBT CLEBURNE COUNTY,49,,2642,,2691,,16,,1206,,1222,,280581
0502501 AR EBT CLEVELAND COUNTY,47,,1115,,1162,,15,,523,,538,,121411
0502701 AR EBT COLUMBIA COUNTY,74,,3673,,3747,,24,,1800,,1824,,400846
0502901 AR EBT CONWAY COUNTY,76,,2890,,2966,,23,,1329,,1352,,307402
0503101 AR EBT CRAIGHEAD COUNTY,342,,13042,,13384,,101,,5184,,5285,,1458116
0503301 AR EBT CRAWFORD COUNTY,97,,7234,,7331,,31,,2967,,2998,,767482
0503501 AR EBT CRITTENDEN COUNTY,332,,11222,,11554,,94,,4892,,4986,,1318364
0503701 AR EBT CROSS COUNTY,52,,2444,,2496,,15,,1097,,1112,,262719
0503901 AR EBT DALLAS COUNTY,29,,962,,991,,7,,465,,472,,99076
0504101 AR EBT DESHA COUNTY,30,,2535,,2565,,9,,1189,,1198,,271725
0504301 AR EBT DREW COUNTY,47,,2674,,2721,,15,,1263,,1278,,304154
0504501 AR EBT FAULKNER COUNTY,123,,10267,,10390,,42,,4518,,4560,,1194938
0504701 AR EBT FRANKLIN COUNTY,28,,2002,,2030,,9,,856,,865,,199909
0504901 AR EBT FULTON COUNTY,37,,1774,,1811,,10,,849,,859,,171276
0505101 AR EBT GARLAND COUNTY,131,,12903,,13034,,42,,5991,,6033,,1454132
0505301 AR EBT GRANT COUNTY,24,,1644,,1668,,7,,701,,708,,186051
0505501 AR EBT GREENE COUNTY,123,,5812,,5935,,41,,2564,,2605,,644623
0505701 AR EBT HEMPSTEAD COUNTY,50,,2985,,3035,,15,,1373,,1388,,307589
0505901 AR EBT HOT SPRING COUNTY,20,,4059,,4079,,6,,1821,,1827,,431284
0506101 AR EBT HOWARD COUNTY,29,,1970,,1999,,9,,814,,823,,215582
0506301 AR EBT INDEPENDENCE COUNTY,69,,4196,,4265,,24,,1819,,1843,,428828
0506501 AR EBT IZARD COUNTY,29,,1514,,1543,,9,,727,,736,,141641
0506701 AR EBT JACKSON COUNTY,76,,2595,,2671,,23,,1285,,1308,,290747
0506901 AR EBT JEFFERSON COUNTY,391,,13193,,13584,,117,,6327,,6444,,1620123
0507101 AR EBT JOHNSON COUNTY,67,,4152,,4219,,21,,1736,,1757,,435827
0507301 AR EBT LAFAYETTE COUNTY,16,,1113,,1129,,6,,555,,561,,113120
0507501 AR EBT LAWRENCE COUNTY,23,,2352,,2375,,8,,1091,,1099,,231292
0507701 AR EBT LEE COUNTY,118,,2093,,2211,,39,,1106,,1145,,257359
0507901 AR EBT LINCOLN COUNTY,34,,1596,,1630,,10,,770,,780,,172883
0508101 AR EBT LITTLE RIVER COUNTY,52,,1720,,1772,,13,,756,,769,,188454
0508301 AR EBT LOGAN COUNTY,39,,2942,,2981,,11,,1275,,1286,,295774
0508501 AR EBT LONOKE COUNTY,88,,6466,,6554,,26,,2807,,2833,,735296
0508701 AR EBT MADISON COUNTY,34,,1956,,1990,,9,,793,,802,,208132
0508901 AR EBT MARION COUNTY,34,,2132,,2166,,11,,963,,974,,219032
0509101 AR EBT MILLER COUNTY,281,,6241,,6522,,83,,2768,,2851,,725536
0509301 AR EBT MISSISSIPPI COUNTY,229,,8359,,8588,,70,,3679,,3749,,931915
0509501 AR EBT MONROE COUNTY,34,,1501,,1535,,13,,735,,748,,158380
0509701 AR EBT MONTGOMERY COUNTY,15,,1068,,1083,,4,,508,,512,,103062
0509901 AR EBT NEVADA COUNTY,32,,1249,,1281,,8,,561,,569,,130024
0510101 AR EBT NEWTON COUNTY,17,,918,,935,,6,,433,,439,,85023
0510301 AR EBT OUACHITA COUNTY,118,,3885,,4003,,33,,1849,,1882,,433526
0510501 AR EBT PERRY COUNTY,25,,1203,,1228,,8,,532,,540,,135883
0510701 AR EBT PHILLIPS COUNTY,372,,5599,,5971,,105,,2606,,2711,,662545
0510901 AR EBT PIKE COUNTY,11,,1338,,1349,,4,,569,,573,,144498
0511101 AR EBT POINSETT COUNTY,133,,4472,,4605,,34,,2055,,2089,,477544
0511301 AR EBT POLK COUNTY,65,,3058,,3123,,19,,1314,,1333,,317927
0511501 AR EBT POPE COUNTY,37,,6291,,6328,,11,,2711,,2722,,673532
0511701 AR EBT PRAIRIE COUNTY,19,,923,,942,,7,,441,,448,,99730
0511901 AR EBT PULASKI COUNTY,1444,,50731,,52175,,447,,22981,,23428,,6212023
0512101 AR EBT RANDOLPH COUNTY,45,,2226,,2271,,12,,1043,,1055,,214613
0512301 AR EBT SAINT FRANCIS COUNTY,222,,5202,,5424,,61,,2413,,2474,,613346
0512501 AR EBT SALINE COUNTY,74,,7661,,7735,,26,,3298,,3324,,878148
0512701 AR EBT SCOTT COUNTY,43,,1771,,1814,,13,,723,,736,,183418
0512901 AR EBT SEARCY COUNTY,27,,835,,862,,9,,430,,439,,79166
0513101 AR EBT SEBASTIAN COUNTY,364,,16154,,16518,,98,,7337,,7435,,1826008
0513301 AR EBT SEVIER COUNTY,46,,2441,,2487,,13,,1019,,1032,,264609
0513501 AR EBT SHARP COUNTY,80,,2874,,2954,,22,,1308,,1330,,281747
0513701 AR EBT STONE COUNTY,33,,1800,,1833,,11,,836,,847,,163637
0513901 AR EBT UNION COUNTY,81,,6002,,6083,,24,,2795,,2819,,686312
0514101 AR EBT VAN BUREN COUNTY,24,,1988,,2012,,8,,905,,913,,206703
0514301 AR EBT WASHINGTON COUNTY,278,,16110,,16388,,80,,6810,,6890,,1790627
0514501 AR EBT WHITE COUNTY,331,,9238,,9569,,98,,4132,,4230,,1057794
0514701 AR EBT WOODRUFF COUNTY,26,,1268,,1294,,7,,639,,646,,132601
0514901 AR EBT YELL COUNTY,5,,2315,,2320,,2,,952,,954,,230309
0515992 AR EBT 92-1 Field Operations,  ,,  ,,  ,,  ,,  ,,  ,,0
0515996 AR EBT 96-1 Field Operations,  ,,  ,,  ,,  ,,  ,,  ,,0
0600105 CA EBT ALAMEDA COUNTY DSS,10073,,87628,,97701,,4358,,49244,,53602,,13679425
0600302 CA EBT ALPINE COUNTY DSS,4,,118,,122,,4,,68,,72,,14916
0600501 CA EBT AMADOR COUNTY DSS,278,,2416,,2694,,105,,1400,,1505,,349590
0600702 CA EBT BUTTE COUNTY DSS,3484,,26940,,30424,,1416,,15303,,16719,,4017242
0600901 CA EBT CALAVERAS CO DSW,476,,4346,,4822,,176,,2526,,2702,,625072
0601101 CA EBT COLUSA COUNTY DSW,138,,1271,,1409,,59,,597,,656,,171921
0601302 CA EBT CONTRA COSTA COUNTY DSS,7527,,51093,,58620,,3196,,26885,,30081,,8006697
0601501 CA EBT DEL NORTE CO DSW,914,,4030,,4944,,331,,2169,,2500,,642216
0601704 CA EBT EL DORADO COUNTY DSS,1028,,9874,,10902,,445,,5922,,6367,,1441004
0601904 CA EBT FRESNO COUNTY DSW,30326,,180100,,210426,,11218,,80769,,91987,,27598300
0602102 CA EBT GLENN CO WELFARE DEPT,509,,2814,,3323,,190,,1313,,1503,,403961
0602303 CA EBT HUMBOLDT CO DSW,2009,,17453,,19462,,813,,10993,,11806,,2638601
0602501 CA EBT IMPERIAL CO DSW,5636,,33629,,39265,,2031,,14654,,16685,,4887187
0602701 CA EBT INYO COUNTY WELF DEPT,230,,1697,,1927,,83,,939,,1022,,240779
0602902 CA EBT KERN,23793,,128534,,152327,,9014,,57415,,66429,,19817888
0603101 CA EBT KINGS COUNTY DPW,3797,,19197,,22994,,1364,,9036,,10400,,2895068
0603301 CA EBT LAKE CO DEPT OF SOC SVCS,1146,,10098,,11244,,457,,5749,,6206,,1480486
0603501 CA EBT LASSEN CO DSW,525,,2303,,2828,,196,,1251,,1447,,386439
0603720 CA EBT LOS ANGELES COUNTY DPSS,175150,,880164,,1055314,,72017,,471768,,543785,,145292627
0603902 CA EBT MADERA CO DSW,4076,,22331,,26407,,1489,,9527,,11016,,3348282
0604102 CA EBT MARIN COUNTY DSW,1068,,8329,,9397,,481,,5381,,5862,,1309515
0604301 CA EBT MARIPOSA CO DSW,259,,1545,,1804,,89,,903,,992,,230016
0604501 CA EBT MENDOCINO CO WELF DEPT,1081,,10122,,11203,,423,,5668,,6091,,1533592
0604701 CA EBT MERCED CO DPW,8007,,43353,,51360,,2997,,19614,,22611,,6597217
0604901 CA EBT MODOC COUNTY DSS,218,,987,,1205,,87,,506,,593,,162275
0605101 CA EBT MONO CO WELFARE DEPT,41,,578,,619,,14,,340,,354,,80394
0605302 CA EBT MONTEREY CO DSW,4412,,35679,,40091,,1698,,16798,,18496,,5068283
0605502 CA EBT NAPA CO WELFARE DEPT,495,,5061,,5556,,205,,2634,,2839,,673658
0605701 CA EBT NEVADA CO DPSS,575,,6443,,7018,,239,,3881,,4120,,950348
0605903 CA EBT ORANGE CO DSW,21019,,190070,,211089,,8142,,98829,,106971,,27706019
0606101 CA EBT PLACER CO WELFARE DEPT,1315,,13172,,14487,,524,,7584,,8108,,1824319
