NATIONAL DATA BANK VERSION 8.2 - PUBLIC,,,,,,,,10/15/2021,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2019,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,954,,6451,,7405,,518,,2778,,3296,,871515
0100301 AL EBT BALDWIN CO FS OFF,1815,,17927,,19742,,1098,,7594,,8692,,2379474
0100501 AL EBT BARBOUR CO FS OFF,812,,4994,,5806,,483,,2183,,2666,,681641
0100701 AL EBT BIBB CO FS OFF,499,,2605,,3104,,308,,1168,,1476,,347439
0100901 AL EBT BLOUNT CO FS OFF,811,,4622,,5433,,523,,1984,,2507,,583727
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,420,,2194,,2614,,244,,944,,1188,,297496
0101301 AL EBT BUTLER CO FSO,682,,3922,,4604,,422,,1769,,2191,,518198
0101501 AL EBT CALHOUN CO FS OFF,2605,,15907,,18512,,1660,,7320,,8980,,2239393
0101701 AL EBT CHAMBERS CO FS OFF,966,,5019,,5985,,650,,2330,,2980,,696814
0101901 AL EBT CHEROKEE CO FS OFFICE,576,,2769,,3345,,392,,1318,,1710,,362327
0102101 AL EBT CHILTON CO FS OFF,938,,6083,,7021,,553,,2589,,3142,,843692
0102301 AL EBT CHOCTAW CO FS OFF,556,,2341,,2897,,350,,1133,,1483,,320957
0102502 AL EBT CLARKE CO FS OFF.,867,,4337,,5204,,558,,2015,,2573,,575311
0102701 AL EBT CLAY CO FS OFF,260,,1240,,1500,,149,,580,,729,,153076
0102901 AL EBT CLEBURNE CO FS OFF,300,,2014,,2314,,201,,890,,1091,,263367
0103101 AL EBT COFFEE CO FS OFF,764,,6439,,7203,,476,,2669,,3145,,844555
0103301 AL EBT COLBERT CO FS OFF,1124,,6110,,7234,,773,,2826,,3599,,813774
0103501 AL EBT CONECUH CO FS OFF,486,,2233,,2719,,334,,1057,,1391,,304963
0103701 AL EBT COOSA CO FSO,232,,1432,,1664,,156,,665,,821,,190514
0103901 AL EBT COVINGTON CO FS OFF,930,,5776,,6706,,598,,2546,,3144,,765109
0104101 AL EBT CRENSHAW CO FSO,423,,2345,,2768,,268,,1135,,1403,,320967
0104301 AL EBT CULLMAN CO FS OFF,1392,,6811,,8203,,928,,3005,,3933,,855878
0104501 AL EBT DALE CO FS OFF,1347,,7747,,9094,,798,,3497,,4295,,1071860
0104701 AL EBT DALLAS CO FS OFF,2697,,10409,,13106,,1611,,4840,,6451,,1575574
0104901 AL EBT DEKALB CO FS OFF,1192,,10939,,12131,,733,,4420,,5153,,1425032
0105101 AL EBT ELMORE CO FS OFF,1112,,7963,,9075,,713,,3354,,4067,,1056714
0105301 AL EBT ESCAMBIA CO FS OFF,1014,,6563,,7577,,610,,2818,,3428,,888691
0105501 AL EBT ETOWQH CO FS OFF,2182,,11264,,13446,,1502,,5039,,6541,,1440531
0105701 AL EBT FAYETTE CO FS OFF,556,,2743,,3299,,358,,1309,,1667,,383246
0105901 AL EBT FRANKLIN CO FS OFF,612,,4191,,4803,,421,,1737,,2158,,563717
0106101 AL EBT GENEVA CO FS OFF,656,,4046,,4702,,383,,1754,,2137,,534464
0106301 AL EBT GREENE CO FS OFF,466,,2079,,2545,,320,,965,,1285,,285019
0106501 AL EBT HALE CO FS OFF,706,,2950,,3656,,400,,1431,,1831,,388462
0106701 AL EBT HENRY CO FS OFF,336,,2527,,2863,,224,,1209,,1433,,324857
0106901 AL EBT HOUSTON CO FS OFF,2859,,15726,,18585,,1597,,6985,,8582,,2184466
0107101 AL EBT JACKSON CO FS OFF,884,,5763,,6647,,553,,2522,,3075,,749587
0107301 AL EBT JEFFERSON CO FS OFF,14941,,86493,,101434,,9544,,40424,,49968,,12395892
0107501 AL EBT LAMAR CO FS OFF,401,,2025,,2426,,264,,923,,1187,,281531
0107701 AL EBT LAUDERDALE CO FS OFF,1481,,8682,,10163,,1024,,4003,,5027,,1127838
