NATIONAL DATA BANK VERSION 8.2 - PRELOAD,,,,,,,2/12/2021, ,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2020,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,991,,6733,,7724,,546,,2968,,3514,,1339865
0100301 AL EBT BALDWIN CO FS OFF,1922,,19305,,21227,,1149,,8532,,9681,,3730082
0100501 AL EBT BARBOUR CO FS OFF,819,,4922,,5741,,491,,2222,,2713,,1016446
0100701 AL EBT BIBB CO FS OFF,502,,2913,,3415,,303,,1352,,1655,,606998
0100901 AL EBT BLOUNT CO FS OFF,836,,5076,,5912,,544,,2253,,2797,,1043530
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,405,,2235,,2640,,244,,1018,,1262,,467984
0101301 AL EBT BUTLER CO FSO,718,,4438,,5156,,428,,2076,,2504,,899461
0101501 AL EBT CALHOUN CO FS OFF,2588,,16441,,19029,,1688,,7734,,9422,,3358127
0101701 AL EBT CHAMBERS CO FS OFF,918,,5504,,6422,,635,,2671,,3306,,1138417
0101901 AL EBT CHEROKEE CO FS OFFICE,569,,2824,,3393,,385,,1377,,1762,,592442
0102101 AL EBT CHILTON CO FS OFF,949,,6415,,7364,,568,,2817,,3385,,1314480
0102301 AL EBT CHOCTAW CO FS OFF,567,,2499,,3066,,371,,1247,,1618,,541096
0102502 AL EBT CLARKE CO FS OFF.,886,,4493,,5379,,565,,2134,,2699,,943588
0102701 AL EBT CLAY CO FS OFF,266,,1269,,1535,,153,,574,,727,,271367
0102901 AL EBT CLEBURNE CO FS OFF,287,,2111,,2398,,186,,960,,1146,,421024
0103101 AL EBT COFFEE CO FS OFF,811,,6847,,7658,,513,,2889,,3402,,1365320
0103301 AL EBT COLBERT CO FS OFF,1153,,6359,,7512,,799,,2974,,3773,,1337241
0103501 AL EBT CONECUH CO FS OFF,486,,2537,,3023,,333,,1238,,1571,,535096
0103701 AL EBT COOSA CO FSO,257,,1610,,1867,,173,,762,,935,,326753
0103901 AL EBT COVINGTON CO FS OFF,934,,6247,,7181,,595,,2840,,3435,,1251994
0104101 AL EBT CRENSHAW CO FSO,450,,2632,,3082,,281,,1281,,1562,,543198
0104301 AL EBT CULLMAN CO FS OFF,1398,,6939,,8337,,951,,3131,,4082,,1494998
0104501 AL EBT DALE CO FS OFF,1302,,8055,,9357,,794,,3668,,4462,,1635963
0104701 AL EBT DALLAS CO FS OFF,2712,,10807,,13519,,1649,,5222,,6871,,2357235
0104901 AL EBT DEKALB CO FS OFF,1191,,11349,,12540,,741,,4620,,5361,,2303853
0105101 AL EBT ELMORE CO FS OFF,1141,,8588,,9729,,717,,3742,,4459,,1690189
0105301 AL EBT ESCAMBIA CO FS OFF,965,,7190,,8155,,618,,3115,,3733,,1414803
0105501 AL EBT ETOWQH CO FS OFF,2179,,12453,,14632,,1507,,5665,,7172,,2601649
0105701 AL EBT FAYETTE CO FS OFF,507,,2766,,3273,,349,,1319,,1668,,575470
0105901 AL EBT FRANKLIN CO FS OFF,620,,4381,,5001,,437,,1819,,2256,,923930
0106101 AL EBT GENEVA CO FS OFF,709,,4221,,4930,,411,,1876,,2287,,859653
0106301 AL EBT GREENE CO FS OFF,496,,2009,,2505,,348,,976,,1324,,438673
0106501 AL EBT HALE CO FS OFF,725,,3117,,3842,,424,,1576,,2000,,683330
0106701 AL EBT HENRY CO FS OFF,356,,2508,,2864,,240,,1247,,1487,,508796
0106901 AL EBT HOUSTON CO FS OFF,2892,,16722,,19614,,1646,,7724,,9370,,3448358
0107101 AL EBT JACKSON CO FS OFF,834,,6177,,7011,,513,,2713,,3226,,1237765
0107301 AL EBT JEFFERSON CO FS OFF,15167,,90432,,105599,,9728,,43582,,53310,,18699811
0107501 AL EBT LAMAR CO FS OFF,416,,2168,,2584,,269,,1020,,1289,,451098
0107701 AL EBT LAUDERDALE CO FS OFF,1498,,8461,,9959,,1040,,4038,,5078,,1782232
0107901 AL EBT LAWRENCE CO FS OFF,803,,4872,,5675,,498,,2162,,2660,,991638
